band,kruskal_stat,kruskal_pvalue,kruskal_pvalue_adj,ttest_stat,ttest_pvalue,ttest_pvalue_adj,pearson_r,pearson_pvalue,pearson_pvalue_adj,spearman_rho,spearman_pvalue,spearman_pvalue_adj,pvalue_adjusted,pvalue_adjusted_source,significant_at_alpha,effect_score,significance_score,consistency_score,ranking_score,direction_label,rank
2084,321.87631868566586,5.651999073895857e-72,2.072721162082286e-71,-18.433971775574484,1.3649327112861258e-68,4.512677533159822e-68,0.4048813983225406,2.5978492588800083e-69,8.588889318974059e-69,0.43121710429591864,2.2966082648304527e-79,8.422203346622257e-79,8.422203346622257e-79,spearman,True,0.6898004142843268,0.9050127777985251,0.6666666666666666,0.78433260310395,irrigado,619
1879,306.3696315594789,1.3492450530847503e-68,4.722357685796626e-68,19.05581295661055,1.7686484708120861e-72,6.071606331909222e-72,-0.41616948475823673,1.6411368544935044e-73,5.633870767262845e-73,-0.4207017544993919,3.041999057335465e-75,1.0646996700674127e-74,1.0646996700674127e-74,spearman,True,0.6848009297025981,0.9079445211030338,0.6666666666666666,0.783402119529201,nao_irrigado,620
722,301.67509992653504,1.4217618136476878e-67,4.935971143019194e-67,-19.194825320301717,4.3727789456518715e-74,1.5205666592566137e-73,0.4192406788631856,1.1076689448628755e-74,3.851748483026406e-74,0.41746608459714407,5.27678422040177e-74,1.8319562665013578e-73,3.851748483026406e-74,pearson,True,0.6815903422611571,0.9108286741494112,0.6666666666666666,0.7832552240514223,irrigado,621
1501,292.25020010974913,1.6079202231716557e-65,5.433051194333158e-65,-19.593782660129754,1.0036781533956072e-75,3.5417148631316252e-75,0.426551353405384,1.6148893469970477e-77,5.793651430211445e-77,0.4108931248956473,1.5783372786498469e-71,5.3330924714127685e-71,5.793651430211445e-77,pearson,True,0.6793905293645468,0.9101164124004577,0.6666666666666666,0.7819447904609187,irrigado,622
734,303.50035012973694,5.6908541127482984e-68,1.985332059788327e-67,-19.063512319250496,1.6416373089872323e-73,5.671830509668107e-73,0.4167843632694867,9.588024767582748e-74,3.302029683579379e-73,0.4187270951372064,1.7419551912716337e-74,6.0770482240953584e-74,6.0770482240953584e-74,spearman,True,0.6794265659968076,0.9071385803140654,0.6666666666666666,0.7806209825065595,irrigado,623
1866,287.2224249449491,2.0034322662030666e-64,6.664668637879862e-64,19.68604458567885,4.0219571949821784e-77,1.447769851259079e-76,-0.4280838112336381,4.0241980443253837e-78,1.4583476555236509e-77,-0.4073433571299408,3.2541012719903234e-70,1.0825175903261928e-69,1.4583476555236509e-77,pearson,True,0.6723652876892263,0.9074854415125817,0.6666666666666666,0.7775994948074803,nao_irrigado,624
1943,297.60664930192866,1.0944822719879907e-66,3.7572562340290607e-66,19.17004407171597,3.824566590542029e-73,1.3192606104453965e-72,-0.4189280234193719,1.4593240767822746e-74,5.041941223480881e-74,-0.4146415136085437,6.2097882986152e-73,2.1317627881348346e-72,5.041941223480881e-74,pearson,True,0.6716514205980207,0.8926641393753666,0.6666666666666666,0.7706086686546909,nao_irrigado,625
549,301.5599534454826,1.506305092176597e-67,5.221047811431462e-67,18.877583915117814,3.004106690209308e-72,1.0296372053045935e-71,-0.4131503417568019,2.2605023474234064e-72,7.686423330083702e-72,-0.41738640560072204,5.658665745666266e-74,1.9613665624898074e-73,1.9613665624898074e-73,spearman,True,0.666239731605827,0.8857776336330629,0.6666666666666666,0.7650744810241672,nao_irrigado,626
2083,316.3662946303921,8.962204975029618e-71,3.220698744371012e-70,-18.207569408909137,4.3478940161840364e-67,1.4200036840090418e-66,0.40070654555358864,8.456985856263058e-68,2.7620155934816582e-67,0.42751028759848275,6.774716919277324e-78,2.4345930868774198e-77,2.4345930868774198e-77,spearman,True,0.6672450548229645,0.8709155401390216,0.6666666666666666,0.7588389343995604,irrigado,627
1500,284.0265067029948,9.958008786755988e-64,3.2872136532624605e-63,-19.320289157153116,6.877814928808204e-74,2.383939400324005e-73,0.42166382834570465,1.2944168485954097e-75,4.530458970083935e-75,0.40507076693998056,2.215589175150806e-69,7.313826631949434e-69,4.530458970083935e-75,pearson,True,0.6485741524258335,0.864034251376924,0.6666666666666666,0.7473404483779076,irrigado,628
1739,295.3135639434531,3.457915395307458e-66,1.1795333626215441e-65,18.78027175127375,5.191592276494673e-71,1.7514492625097413e-70,-0.41179291766834303,7.286780940328009e-72,2.4738218389833952e-71,-0.41304099999135774,2.484496872462214e-72,8.474894887176664e-72,8.474894887176664e-72,spearman,True,0.6484573028721249,0.8571961871798883,0.6666666666666666,0.7442107371900726,nao_irrigado,629
862,289.68342994361365,5.828196587804651e-65,1.9569991354987804e-64,18.963584684106205,8.387937513351227e-73,2.8841084345906857e-72,-0.41469850948914133,5.909799765926947e-73,2.0223184230855107e-72,-0.4090847528738519,7.408013395942787e-71,2.487471998106414e-70,2.0223184230855107e-72,pearson,True,0.6440103786336391,0.8580833479880541,0.6666666666666666,0.7426088436464287,nao_irrigado,630
2268,284.06861232656047,9.749838439076407e-64,3.2234465854731075e-63,19.20894749599287,9.578492637761803e-74,3.314682878993577e-73,-0.41896676713032777,1.4103290195592213e-74,4.880510568490767e-74,-0.40510079076656985,2.1603574027260563e-69,7.142473936089684e-69,4.880510568490767e-74,pearson,True,0.6427073150410221,0.8571320627258323,0.6666666666666666,0.7415943866617511,nao_irrigado,631
735,293.5724040429768,8.282814531918028e-66,2.820882476876679e-65,-18.713103563304596,3.851862690639212e-71,1.301517755060325e-70,0.41042090151938876,2.365645802945319e-71,7.968295972616756e-71,0.4118215612273415,7.109408211420923e-72,2.4212548726376487e-71,2.4212548726376487e-71,spearman,True,0.6413192159497414,0.8498740930067341,0.6666666666666666,0.7377036556970806,irrigado,632
1807,291.8199776810964,1.9952800270878543e-65,6.73132932215353e-65,-18.711950510804222,3.1091509530214496e-71,1.0522150233138733e-70,0.41018847927307084,2.886341915752264e-71,9.706962092256049e-71,0.4105905749848324,2.045662468345041e-71,6.901300854746457e-71,6.901300854746457e-71,spearman,True,0.6371425129830488,0.8448619298369342,0.6666666666666666,0.7335686659356591,irrigado,633
1865,277.5730329580101,2.537946079623116e-62,8.238740370256913e-62,19.264796474985644,3.289209112396354e-74,1.1456256697795404e-73,-0.4205663489980574,3.429966758142953e-75,1.1965906758521438e-74,-0.4004424423063031,1.05239128984914e-67,3.416297404661332e-67,1.1965906758521438e-74,pearson,True,0.631519025779664,0.844795523905028,0.6666666666666666,0.731008214024778,nao_irrigado,634
1399,279.44281646720174,9.931537966231199e-63,3.2386760378499007e-62,19.12810687007606,4.852309286246068e-73,1.6710917718177563e-72,-0.41814593297950275,2.9048540207836e-74,1.0020114431242307e-73,-0.4017889059415711,3.444600910687504e-68,1.1232848796763956e-67,1.0020114431242307e-73,pearson,True,0.6294266364466513,0.8376904022796748,0.6666666666666666,0.7268693340935134,nao_irrigado,635
