dia,band,wavelength_nm,h_stat,p_value,mean_irrigated,mean_non_irrigated,direction,q_value,rank_kruskal,selected_top_k
dia9,band_356,356,17.28,3.225641456243768e-05,0.13143548726979884,0.09893150878818212,irrigado,0.00042244780175220104,5,True
dia9,band_357,357,17.28,3.225641456243768e-05,0.13017440951390685,0.09825994471194166,irrigado,0.00042244780175220104,6,True
dia9,band_358,358,17.28,3.225641456243768e-05,0.12851331915723047,0.09681781074126844,irrigado,0.00042244780175220104,7,True
dia9,band_359,359,17.28,3.225641456243768e-05,0.1269846795499866,0.0954498970399892,irrigado,0.00042244780175220104,8,True
dia9,band_360,360,17.28,3.225641456243768e-05,0.1254931344944519,0.09407642800351612,irrigado,0.00042244780175220104,9,True
dia9,band_361,361,17.28,3.225641456243768e-05,0.12397827378860415,0.09268067990585033,irrigado,0.00042244780175220104,10,True
dia9,band_362,362,17.28,3.225641456243768e-05,0.12211295070379431,0.09109877365896545,irrigado,0.00042244780175220104,11,True
dia9,band_363,363,17.28,3.225641456243768e-05,0.1197576984125121,0.08906237722020595,irrigado,0.00042244780175220104,12,True
dia9,band_366,366,17.28,3.225641456243768e-05,0.11540802720274551,0.08546077518546658,irrigado,0.00042244780175220104,13,True
dia9,band_367,367,17.28,3.225641456243768e-05,0.11344928716981965,0.08379073099620543,irrigado,0.00042244780175220104,14,True
dia9,band_368,368,17.28,3.225641456243768e-05,0.11121832663266935,0.08181414752084228,irrigado,0.00042244780175220104,15,True
dia9,band_369,369,17.28,3.225641456243768e-05,0.10970680128619087,0.08054499546748939,irrigado,0.00042244780175220104,16,True
dia9,band_370,370,17.28,3.225641456243768e-05,0.10802143669743698,0.07921579751355337,irrigado,0.00042244780175220104,17,True
dia9,band_371,371,17.28,3.225641456243768e-05,0.10643245892535079,0.07811795510109189,irrigado,0.00042244780175220104,18,True
dia9,band_372,372,17.28,3.225641456243768e-05,0.10485529931126264,0.07701027954365354,irrigado,0.00042244780175220104,19,True
dia9,band_373,373,17.28,3.225641456243768e-05,0.10330974751916089,0.07580428069093745,irrigado,0.00042244780175220104,20,True
