number,objective,datetime_start,datetime_complete,duration,params_lda_shrinkage,params_lda_shrinkage_mode,params_lda_solver,user_attrs_accuracy,user_attrs_f1_macro,user_attrs_kappa,state,accuracy,f1_macro,kappa
93,0.6062734576534576,2026-05-19 10:51:48.804942,2026-05-19 10:51:48.850800,0 days 00:00:00.045858,4.459783319096421e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
101,0.6062734576534576,2026-05-19 10:51:49.204283,2026-05-19 10:51:49.252227,0 days 00:00:00.047944,4.424968117485803e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
98,0.6062734576534576,2026-05-19 10:51:49.062191,2026-05-19 10:51:49.109779,0 days 00:00:00.047588,4.3715375421466406e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
74,0.6062734576534576,2026-05-19 10:51:47.908768,2026-05-19 10:51:47.957429,0 days 00:00:00.048661,3.529742242595977e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
77,0.6062734576534576,2026-05-19 10:51:48.055056,2026-05-19 10:51:48.103191,0 days 00:00:00.048135,4.072396379342767e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
84,0.6062734576534576,2026-05-19 10:51:48.382697,2026-05-19 10:51:48.429444,0 days 00:00:00.046747,4.2528160728373675e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
82,0.6062734576534576,2026-05-19 10:51:48.290675,2026-05-19 10:51:48.336822,0 days 00:00:00.046147,4.747282555932167e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
66,0.6062734576534576,2026-05-19 10:51:47.479899,2026-05-19 10:51:47.530667,0 days 00:00:00.050768,3.771604238665851e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
63,0.6062734576534576,2026-05-19 10:51:47.335507,2026-05-19 10:51:47.383130,0 days 00:00:00.047623,4.563511908865882e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
61,0.6062734576534576,2026-05-19 10:51:47.245125,2026-05-19 10:51:47.290510,0 days 00:00:00.045385,4.207375123938797e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
