wavelength,t_stat,p_value,q_value,mean_diff,cohen_d,direction
1434,-9.117592378702545,3.857242336413503e-11,4.36274409523822e-09,-0.000723930403125,-2.2793980946756363,nao_irrigado
1415,-8.394974541608306,4.212723386548606e-11,4.5265712788464775e-09,-0.0006522180468749982,-2.0987436354020765,nao_irrigado
1435,-9.054707546564014,4.965382065817826e-11,5.0812409806869085e-09,-0.0007124329687500001,-2.2636768866410035,nao_irrigado
1436,-8.936854908553864,7.745958134633232e-11,7.566392741512189e-09,-0.0006960177000000001,-2.234213727138466,nao_irrigado
1437,-8.806913018093658,1.2330403553047717e-10,1.1520885754565018e-08,-0.00067785344375,-2.2017282545234145,nao_irrigado
1414,-8.01173168180453,1.3273045973880748e-10,1.188490658244572e-08,-0.0006308285687500002,-2.0029329204511326,nao_irrigado
1413,-7.545678580911113,5.916178206750159e-10,4.101247408485836e-08,-0.0006073554250000009,-1.886419645227778,nao_irrigado
1412,-7.026825446000863,3.628634856894546e-09,1.5290071191110547e-07,-0.0005841550781249989,-1.7567063615002156,nao_irrigado
1274,6.4192613700773515,2.2934741581327556e-08,5.665144788307232e-07,8.897164062499996e-05,1.6048153425193379,irrigado
1411,-6.427669073132396,3.1439602466460754e-08,7.111969021097281e-07,-0.0005560128812500016,-1.606917268283099,nao_irrigado
1275,6.239801931720366,4.507921747421283e-08,9.591607757632016e-07,8.807209062499998e-05,1.5599504829300916,irrigado
1273,6.300067012250249,4.7632478043617054e-08,1.003550934467971e-06,8.815892500000006e-05,1.5750167530625623,irrigado
490,-6.444436160131039,5.5857731587127544e-08,1.1654200502984184e-06,-0.000269575940625,-1.6111090400327597,nao_irrigado
1272,6.056077744866309,1.313720557820346e-07,2.2952727469560354e-06,8.888456249999999e-05,1.5140194362165775,irrigado
491,-6.265373591107414,1.5434574931266714e-07,2.621268072099e-06,-0.00028339446249999996,-1.5663433977768535,nao_irrigado
1271,5.922631523740214,1.8387582270002147e-07,2.971046187837189e-06,8.586861875000003e-05,1.4806578809350535,irrigado
479,-5.862097601763948,1.9413606767483649e-07,3.090358588394249e-06,-0.00019207181875000002,-1.4655244004409873,nao_irrigado
1256,5.844805987767917,3.0171257631932464e-07,4.631288046501633e-06,6.9368171875e-05,1.4612014969419793,irrigado
1410,-5.744588062011014,3.771975565608517e-07,5.5520380071867825e-06,-0.0005208088999999992,-1.4361470155027536,nao_irrigado
1276,5.7088152911693735,4.038444331132633e-07,5.903820998370088e-06,8.571225625e-05,1.4272038227923436,irrigado
1270,5.66457474265419,4.2880413537322473e-07,6.184564341725234e-06,8.013245e-05,1.4161436856635474,irrigado
1255,5.658374759267551,6.068064002267847e-07,8.41307712314426e-06,6.8896765625e-05,1.4145936898168878,irrigado
1269,5.511824511174959,7.325465686335026e-07,9.483389012008416e-06,7.849487187500001e-05,1.37795612779374,irrigado
1277,5.4845547400226655,9.144030974764059e-07,1.1424722421376724e-05,8.498356250000009e-05,1.3711386850056668,irrigado
495,-5.870725984967927,9.218981500730156e-07,1.1451786846860755e-05,-0.0003649762156250001,-1.4676814962419817,nao_irrigado
494,-5.883953806747757,9.743577338238707e-07,1.1897129374928966e-05,-0.00033997287187499995,-1.4709884516869391,nao_irrigado
480,-5.440586228615889,1.109478215409908e-06,1.3028790627955696e-05,-0.000177261140625,-1.3601465571539721,nao_irrigado
1250,5.438303748231213,1.3316798389147717e-06,1.5222233903339598e-05,6.76105375e-05,1.359575937057803,irrigado
1251,5.471962530867885,1.4556051363749994e-06,1.6463660200367758e-05,6.4152528125e-05,1.367990632716971,irrigado
1257,5.335412067401166,1.928456453613373e-06,2.0825391551834868e-05,6.6456765625e-05,1.3338530168502916,irrigado
489,-5.3221533739723235,2.131544064360366e-06,2.2789493504031973e-05,-0.00021961090937499996,-1.3305383434930809,nao_irrigado
1249,5.271645607392161,2.15235940504864e-06,2.2898120601235284e-05,6.9785053125e-05,1.3179114018480402,irrigado
1268,5.214165713582845,2.2527207981097152e-06,2.3847768448954572e-05,7.689150937500002e-05,1.3035414283957112,irrigado
1252,5.385942998743336,2.281846922892181e-06,2.4037691359290672e-05,6.196184374999999e-05,1.346485749685834,irrigado
1278,5.219115800520131,2.3357455407335445e-06,2.4366588189497024e-05,8.336327187499998e-05,1.3047789501300326,irrigado
1254,5.3599442895876,2.701240149389586e-06,2.777495254085273e-05,6.360378125e-05,1.3399860723969,irrigado
492,-5.423463240174041,3.2953363481722414e-06,3.356245408636089e-05,-0.000280627971875,-1.3558658100435101,nao_irrigado
1283,5.100032823609225,3.4526351688976087e-06,3.499864612245737e-05,9.615540312499996e-05,1.2750082059023062,irrigado
1282,5.028828919588707,4.544596689461632e-06,4.542482923559557e-05,9.300106874999994e-05,1.2572072298971773,irrigado
1409,-5.0481867109782135,4.69474496636149e-06,4.627380640053609e-05,-0.0004843022500000023,-1.2620466777445531,nao_irrigado
1279,5.020111193483338,4.704223378743253e-06,4.627380640053609e-05,8.163319062499984e-05,1.255027798370835,irrigado
1260,4.998928058164751,5.335705495366243e-06,5.11894245961699e-05,7.01461125e-05,1.2497320145411877,irrigado
1281,4.984388097299441,5.321353588343845e-06,5.11894245961699e-05,8.731245000000013e-05,1.2460970243248604,irrigado
