sample_name,data_coleta,genotipo,condicao,y_true,y_pred_fit
B2_BR16_NIRRIG_REPROD00006.asd,2017-02-23,BR16,nao_irrigado,0,0.2230663983
B2_BR16_NIRRIG_REPROD00007.asd,2017-02-23,BR16,nao_irrigado,0,0.1842708092
B2_CD202_IRRIG_REPROD00000.asd,2017-02-23,CD202,irrigado,1,0.8608681218
B2_CD202_IRRIG_REPROD00001.asd,2017-02-23,CD202,irrigado,1,0.6492290196
B2_CD202_IRRIG_REPROD00002.asd,2017-02-23,CD202,irrigado,1,0.7143154746
B2_CD202_IRRIG_REPROD00003.asd,2017-02-23,CD202,irrigado,1,0.8281300885
B2_CD202_IRRIG_REPROD00004.asd,2017-02-23,CD202,irrigado,1,0.5985373883
B2_CD202_IRRIG_REPROD00005.asd,2017-02-23,CD202,irrigado,1,0.7321321366
B2_CD202_IRRIG_REPROD00006.asd,2017-02-23,CD202,irrigado,1,0.7003841063
B2_CD202_IRRIG_REPROD00007.asd,2017-02-23,CD202,irrigado,1,0.7938479144
B2_CD202_NIRRIG_REPROD00000.asd,2017-02-23,CD202,nao_irrigado,0,0.2294756367
B2_CD202_NIRRIG_REPROD00001.asd,2017-02-23,CD202,nao_irrigado,0,0.2628618174
B2_CD202_NIRRIG_REPROD00002.asd,2017-02-23,CD202,nao_irrigado,0,0.3300983725
B2_CD202_NIRRIG_REPROD00003.asd,2017-02-23,CD202,nao_irrigado,0,0.0487389334
B2_CD202_NIRRIG_REPROD00004.asd,2017-02-23,CD202,nao_irrigado,0,0.1383389998
B2_CD202_NIRRIG_REPROD00005.asd,2017-02-23,CD202,nao_irrigado,0,0.2781636340
B2_CD202_NIRRIG_REPROD00006.asd,2017-02-23,CD202,nao_irrigado,0,0.2621962870
B2_CD202_NIRRIG_REPROD00007.asd,2017-02-23,CD202,nao_irrigado,0,0.2525972658
B2_EMB48_IRRIG_REPROD00000.asd,2017-02-23,EMB48,irrigado,1,0.4514341348
