wavelength,coefficient,abs_coefficient,vip,direction
1493,-0.0049219455,0.0049219455,1.0349834367,nao_irrigado
653,0.0010801167,0.0010801167,1.0347898139,irrigado
1321,-0.0013194327,0.0013194327,1.0347621321,nao_irrigado
1725,-0.0174975437,0.0174975437,1.0347499296,nao_irrigado
940,-0.0044411567,0.0044411567,1.0345828510,nao_irrigado
1481,-0.0053203970,0.0053203970,1.0345628297,nao_irrigado
1572,-0.0012435952,0.0012435952,1.0342842736,nao_irrigado
1480,-0.0049982974,0.0049982974,1.0340784864,nao_irrigado
817,0.0056615976,0.0056615976,1.0339546860,irrigado
408,0.0063138840,0.0063138840,1.0336073725,irrigado
1846,-0.0045546830,0.0045546830,1.0333444968,nao_irrigado
819,0.0033018784,0.0033018784,1.0331455903,irrigado
866,-0.0023069372,0.0023069372,1.0328813828,nao_irrigado
816,0.0056705444,0.0056705444,1.0328019812,irrigado
1482,-0.0055202615,0.0055202615,1.0323933628,nao_irrigado
1877,-0.0022745269,0.0022745269,1.0323418531,nao_irrigado
1597,0.0016182608,0.0016182608,1.0320726758,irrigado
713,0.0101920146,0.0101920146,1.0320376704,irrigado
426,0.0055060041,0.0055060041,1.0318402566,irrigado
1935,-0.0007867207,0.0007867207,1.0317392106,nao_irrigado
1587,0.0019784245,0.0019784245,1.0311472100,irrigado
2060,0.0042878822,0.0042878822,1.0310602202,irrigado
1766,-0.0041808460,0.0041808460,1.0309909453,nao_irrigado
921,0.0055685162,0.0055685162,1.0308114947,irrigado
1492,-0.0046518244,0.0046518244,1.0307296743,nao_irrigado
1391,0.0030090758,0.0030090758,1.0306818826,irrigado
1876,-0.0017778718,0.0017778718,1.0306447520,nao_irrigado
818,0.0048745451,0.0048745451,1.0306305709,irrigado
2408,0.0091852246,0.0091852246,1.0305229351,irrigado
1316,-0.0020200022,0.0020200022,1.0304697147,nao_irrigado
931,-0.0063253736,0.0063253736,1.0303055299,nao_irrigado
1596,0.0024923663,0.0024923663,1.0300620249,irrigado
1588,0.0013009373,0.0013009373,1.0300218893,irrigado
1586,0.0011329592,0.0011329592,1.0299723602,irrigado
904,-0.0036096060,0.0036096060,1.0299287760,nao_irrigado
