wavelength,vip,coefficient,mean_diff,cohen_d,p_value,q_value,combined_score,direction_label
1567,1.0375972927,-0.0013589130,0.0004494992,1.1910325511,5.264197565200e-114,3.260161546800e-113,2.4297660402,irrigado
2101,1.0472403069,0.0012190575,0.0004040116,1.1798923302,9.750363135700e-114,6.003876899300e-113,2.4519338609,irrigado
1557,1.0590023925,-0.0031498367,0.0005060709,1.1869500161,1.910837055100e-113,1.169911348000e-112,2.5244844266,irrigado
1566,1.0381622601,-0.0012811977,0.0004536927,1.1862943794,3.282026636400e-113,2.003714557300e-112,2.4084636986,irrigado
1556,1.0594644477,-0.0032218200,0.0005109539,1.1857624577,3.330341343900e-113,2.027451430100e-112,2.5201137165,irrigado
1565,1.0402163844,-0.0012952297,0.0004588729,1.1859772248,3.630066997000e-113,2.203676264600e-112,2.4179274178,irrigado
1544,1.0672626919,-0.0035760682,0.0005684161,1.1848238739,4.833041774600e-113,2.925692048900e-112,2.5565757706,irrigado
1545,1.0711134654,-0.0044795815,0.0005647065,1.1843571212,5.172351913500e-113,3.113553014600e-112,2.5754893818,irrigado
1558,1.0579826840,-0.0030604767,0.0004995996,1.1834392229,6.611874421000e-113,3.968971544900e-112,2.5020316390,irrigado
1543,1.0642725136,-0.0028596664,0.0005714362,1.1838648363,7.713677947600e-113,4.617463484500e-112,2.5351265676,irrigado
1553,1.0628638141,-0.0021350165,0.0005246329,1.1830298156,8.587320992000e-113,5.126153558900e-112,2.5250390660,irrigado
1546,1.0747596125,-0.0053358963,0.0005589532,1.1825744967,8.823506394700e-113,5.252552698700e-112,2.5869065710,irrigado
1564,1.0432895254,-0.0017174868,0.0004639489,1.1832278049,9.185963126400e-113,5.453214021700e-112,2.4212529549,irrigado
1555,1.0597149123,-0.0031336131,0.0005144363,1.1826234458,1.099177743800e-112,6.507253364700e-112,2.5056285133,irrigado
1552,1.0664925201,-0.0032609706,0.0005303564,1.1822886980,1.125666575100e-112,6.645762279600e-112,2.5406581865,irrigado
1551,1.0726955777,-0.0052287717,0.0005361874,1.1821131618,1.149496625900e-112,6.767858216600e-112,2.5730111962,irrigado
1554,1.0611245067,-0.0027312681,0.0005187734,1.1821678242,1.216419700600e-112,7.142311302400e-112,2.5113905689,irrigado
1547,1.0781976731,-0.0063924872,0.0005533111,1.1812542563,1.314761044500e-112,7.698696143300e-112,2.5993100980,irrigado
1542,1.0617795720,-0.0023622998,0.0005752186,1.1827914555,1.360348888900e-112,7.943993919200e-112,2.5153993622,irrigado
1550,1.0781419461,-0.0067967350,0.0005410254,1.1813260777,1.452116488700e-112,8.456906054600e-112,2.5984473223,irrigado
2180,1.1509975032,-0.0118851864,0.0002322467,1.1693917244,1.958528214900e-112,1.134468230100e-111,2.9563442135,irrigado
1548,1.0825342866,-0.0079461555,0.0005484123,1.1796143656,2.423740192900e-112,1.400166041500e-111,2.6141179749,irrigado
1541,1.0591504580,-0.0018318527,0.0005790993,1.1813471419,2.804476715600e-112,1.611449321300e-111,2.4928744277,irrigado
1540,1.0577889546,-0.0014270183,0.0005840335,1.1811797122,3.460602408100e-112,1.983155886700e-111,2.4836954354,irrigado
1549,1.0826727996,-0.0082587078,0.0005443799,1.1787610689,3.499806096900e-112,2.000288112300e-111,2.6102477575,irrigado
1563,1.0478017426,-0.0035321574,0.0004690409,1.1786982420,4.533951093600e-112,2.584472387300e-111,2.4233265353,irrigado
1559,1.0588638338,-0.0046822263,0.0004924254,1.1776135823,5.678857695100e-112,3.228535763700e-111,2.4778799198,irrigado
1539,1.0572240682,-0.0018182269,0.0005879385,1.1798823789,6.189125140800e-112,3.509348265800e-111,2.4734823786,irrigado
1538,1.0583685366,-0.0030376913,0.0005892532,1.1771248732,1.854341300100e-111,1.045926365900e-110,2.4651358818,irrigado
