wavelength,vip,coefficient,mean_diff,cohen_d,p_value,q_value,combined_score,direction_label
2330,1.0757405348,0.0184702209,-0.0001289790,-0.3750524026,1.046159663900e-14,1.455143765500e-14,-0.8931334202,nao_irrigado
2256,0.9718765797,-0.0028197186,-0.0001680102,-0.3747269954,1.077891248800e-14,1.498310668600e-14,-1.4445273450,nao_irrigado
793,0.9515508311,-0.0049809366,-0.0000491171,-0.3745234004,1.108154596500e-14,1.538387744100e-14,-1.5528965216,nao_irrigado
786,0.9014897959,0.0114919003,-0.0000550665,-0.3744532245,1.120073220800e-14,1.553929858900e-14,-1.8184413678,nao_irrigado
2000,0.9147442804,0.0017508780,-0.0002074747,-0.3745022213,1.127902699500e-14,1.563782516900e-14,-1.7481370224,nao_irrigado
1775,0.9701657104,0.0034793625,-0.0001047624,-0.3734349493,1.459193061400e-14,2.021796188800e-14,-1.4587138669,nao_irrigado
1190,0.8442811424,0.0021422073,-0.0000402493,-0.3724097384,1.551611611700e-14,2.148462212300e-14,-2.1285784569,nao_irrigado
1345,0.7652223494,0.0066320109,-0.0002600338,-0.3725717323,1.554430313100e-14,2.150979229100e-14,-2.5472328773,nao_irrigado
713,1.0280577146,0.0103249589,-0.0006702309,-0.3723762841,1.615961245900e-14,2.234685146300e-14,-1.1549706363,nao_irrigado
785,0.8977294612,0.0066684243,-0.0000573411,-0.3720211949,1.647369291800e-14,2.276653767200e-14,-1.8466034162,nao_irrigado
900,0.9984192334,-0.0047970232,-0.0000319229,-0.3719484479,1.666087247000e-14,2.301042091200e-14,-1.3132055496,nao_irrigado
1838,1.0575450186,0.0024106998,-0.0001577759,-0.3725574664,1.693898493900e-14,2.337949816000e-14,-0.9986469643,nao_irrigado
1354,0.7986212986,0.0044029906,-0.0002435588,-0.3715302816,1.840433546700e-14,2.538569763600e-14,-2.3737662257,nao_irrigado
2297,1.2803478040,0.0023681868,-0.0000845027,-0.3714957484,1.967611683500e-14,2.712249844700e-14,0.1787151621,nao_irrigado
772,0.8245134576,0.0041265849,-0.0001256875,-0.3703061405,2.159176103700e-14,2.974403491600e-14,-2.2404259307,nao_irrigado
1884,1.0581295797,-0.0055463775,-0.0006671155,-0.3701502762,2.214552894600e-14,3.048734254000e-14,-1.0028305048,nao_irrigado
1136,0.8075441083,-0.0042619468,-0.0002046631,-0.3702366151,2.247210932900e-14,3.091713377000e-14,-2.3308097738,nao_irrigado
971,0.9066877028,-0.0106954787,-0.0000354828,-0.3693152591,2.526650588300e-14,3.473942491600e-14,-1.8082683587,nao_irrigado
1346,0.7662419024,0.0064661945,-0.0002550127,-0.3669555496,3.759181396200e-14,5.161968575400e-14,-2.5607908754,nao_irrigado
771,0.8049217102,0.0009673744,-0.0001307874,-0.3660867322,4.183153598900e-14,5.740483450900e-14,-2.3585030246,nao_irrigado
