analysis,wavelength_nm,obs_score,p_perm,q_fdr_bh_perm,significativo_perm_fdr_0_05
gen_cond,1490.0,0.3361827567739389,0.6838602329450915,1.0,False
gen_cond,1729.0,0.3296923431523843,0.9234608985024958,1.0,False
gen_cond,546.0,0.3296833612478647,0.2978369384359401,0.9173377703826955,False
gen_cond,640.0,0.3191439095091313,0.5474209650582362,1.0,False
gen_cond,1900.0,0.3132061029620243,0.9833610648918469,1.0,False
gen_cond,1389.0,0.31008713615010813,0.8452579034941764,1.0,False
gen_cond,1959.0,0.29910986235368686,0.7371048252911814,1.0,False
gen_cond,1382.0,0.2972117630998107,0.9284525790349417,1.0,False
gen_cond,1489.0,0.2945160901072722,0.6555740432612313,1.0,False
gen_cond,1719.0,0.28580059072538333,0.8652246256239601,1.0,False
gen_cond,579.0,0.28541684471180956,0.8552412645590682,1.0,False
gen_cond,1340.0,0.2594959046513421,0.8103161397670549,1.0,False
gen_cond,1369.0,0.25738972348459566,0.8103161397670549,1.0,False
gen_cond,1355.0,0.24472078315928836,0.9733777038269551,1.0,False
gen_cond,519.0,0.23688436341112518,0.9633943427620633,1.0,False
