data_coleta_iso,genotipo,turno,n_components,rmsecv,r2cv,auc,accuracy
2017-02-24,EMB48,manha,12,0.03601382617038396,0.9948120172982775,1.0,1.0
2017-02-24,EMB48,manha,13,0.03609665065547259,0.9947881272458271,1.0,1.0
2017-02-24,EMB48,manha,14,0.03607064375815007,0.9947956346354905,1.0,1.0
2017-02-24,EMB48,manha,15,0.036197908094312954,0.9947588457983827,1.0,1.0
2017-02-24,EMB48,tarde,1,0.2839212350563711,0.6775549291362595,1.0,0.953125
2017-02-24,EMB48,tarde,2,0.2202456293413156,0.8059674510241912,1.0,1.0
2017-02-24,EMB48,tarde,3,0.15743580570819668,0.9008558683240437,1.0,1.0
2017-02-24,EMB48,tarde,4,0.13058592578071582,0.9317892639519735,1.0,1.0
2017-02-24,EMB48,tarde,5,0.11916643616458722,0.9431974419673255,1.0,1.0
2017-02-24,EMB48,tarde,6,0.0980882246296842,0.9615148007559865,1.0,1.0
2017-02-24,EMB48,tarde,7,0.09676776169569999,0.9625440011856169,1.0,1.0
2017-02-24,EMB48,tarde,8,0.08969012507826733,0.967822725853779,1.0,1.0
2017-02-24,EMB48,tarde,9,0.0875200576381858,0.9693609580440345,1.0,1.0
2017-02-24,EMB48,tarde,10,0.08638379372994591,0.9701513607232887,1.0,1.0
2017-02-24,EMB48,tarde,11,0.08375363054652805,0.9719413174811027,1.0,1.0
2017-02-24,EMB48,tarde,12,0.08185165357070416,0.9732012272309657,1.0,1.0
2017-02-24,EMB48,tarde,13,0.08117843187907385,0.9736402487906183,1.0,1.0
2017-02-24,EMB48,tarde,14,0.08074117451109655,0.9739234509542746,1.0,1.0
2017-02-24,EMB48,tarde,15,0.08025179795296486,0.974238595701266,1.0,1.0
2017-02-25,BR16,manha,1,0.3004702213502883,0.6388705843268351,0.96875,0.890625
2017-02-25,BR16,manha,2,0.2384351516336673,0.7725947138617203,1.0,1.0
2017-02-25,BR16,manha,3,0.19417919968455552,0.849177753639462,1.0,1.0
2017-02-25,BR16,manha,4,0.16018793978793527,0.8973592957859873,1.0,1.0
2017-02-25,BR16,manha,5,0.12777183656829674,0.9346974311198578,1.0,1.0
2017-02-25,BR16,manha,6,0.08692949572409565,0.9697730510926177,1.0,1.0
2017-02-25,BR16,manha,7,0.07764942748332865,0.9758822656460452,1.0,1.0
2017-02-25,BR16,manha,8,0.07036413897945216,0.9801955517827213,1.0,1.0
2017-02-25,BR16,manha,9,0.0637625473740473,0.9837373502094895,1.0,1.0
2017-02-25,BR16,manha,10,0.06398742923425628,0.9836224355999642,1.0,1.0
2017-02-25,BR16,manha,11,0.061197807797151,0.9850193132832918,1.0,1.0
2017-02-25,BR16,manha,12,0.06015469683930982,0.9855256497926829,1.0,1.0
2017-02-25,BR16,manha,13,0.059611082317599935,0.9857860754596973,1.0,1.0
2017-02-25,BR16,manha,14,0.05932048727953464,0.9859243191556742,1.0,1.0
2017-02-25,BR16,manha,15,0.05894615266187024,0.9861014043454539,1.0,1.0
2017-02-25,CD202,manha,1,0.23800371862444764,0.773416919683739,0.994140625,0.9375
2017-02-25,CD202,manha,2,0.21548188763564358,0.8142702244039195,0.9990234375,0.96875
2017-02-25,CD202,manha,3,0.1939224128656207,0.849576391153503,1.0,1.0
2017-02-25,CD202,manha,4,0.15270102510307176,0.9067295877298842,1.0,1.0
2017-02-25,CD202,manha,5,0.13701021323551085,0.9249128058766394,1.0,1.0
2017-02-25,CD202,manha,6,0.11831126108374891,0.944009782003092,1.0,1.0
2017-02-25,CD202,manha,7,0.10898659161547475,0.9524876913921669,1.0,1.0
2017-02-25,CD202,manha,8,0.10250496776286676,0.9579709263357346,1.0,1.0
2017-02-25,CD202,manha,9,0.09655195544420303,0.9627108795996026,1.0,1.0
2017-02-25,CD202,manha,10,0.0928771069599114,0.9654953720110288,1.0,1.0
2017-02-25,CD202,manha,11,0.09252609080189494,0.965755690083678,1.0,1.0
2017-02-25,CD202,manha,12,0.09241683146257891,0.9658365170496691,1.0,1.0
2017-02-25,CD202,manha,13,0.09244392637569447,0.9658164819049807,1.0,1.0
2017-02-25,CD202,manha,14,0.09229328630138464,0.9659277972147626,1.0,1.0
2017-02-25,CD202,manha,15,0.09239013155683329,0.9658562543636442,1.0,1.0
