direction,wavelength,occurrences,subset_frequency,mean_rank,best_rank,mean_vip,mean_coefficient,mean_abs_coefficient,mean_score
nao_irrigado,936,1,0.037037037037037035,4.0,4,1.2417608212918858,-0.0016603573907635835,0.0016603573907635835,5.510103033996808
nao_irrigado,2239,1,0.037037037037037035,4.0,4,1.1403147261589417,-0.0026853310811721653,0.0026853310811721653,5.367038231311174
nao_irrigado,1455,1,0.037037037037037035,4.0,4,1.300357874004846,-0.002797345690116503,0.002797345690116503,5.214674727794381
nao_irrigado,403,1,0.037037037037037035,5.0,5,1.8350622712798499,-0.006673560398655799,0.006673560398655799,9.108286355061438
nao_irrigado,979,1,0.037037037037037035,5.0,5,1.4882061579005468,-0.00931516796737351,0.00931516796737351,8.82559045965564
nao_irrigado,629,1,0.037037037037037035,5.0,5,1.562904904042915,-0.004868545545125902,0.004868545545125902,8.487376151041563
nao_irrigado,985,1,0.037037037037037035,5.0,5,1.5707268770904543,-0.002563972169618324,0.002563972169618324,8.411114891813883
nao_irrigado,547,1,0.037037037037037035,5.0,5,1.5232738497280767,-0.002433264079465243,0.002433264079465243,7.904395895355609
nao_irrigado,847,1,0.037037037037037035,5.0,5,1.5346446222814125,-0.004625758562357447,0.004625758562357447,7.201162747993839
nao_irrigado,966,1,0.037037037037037035,5.0,5,1.4766533013476983,-0.0032586101442177145,0.0032586101442177145,6.910132274015085
nao_irrigado,1730,1,0.037037037037037035,5.0,5,1.4440712292499285,-0.003998208399298358,0.003998208399298358,6.7431675448688475
nao_irrigado,835,1,0.037037037037037035,5.0,5,1.3594795304884606,-0.0015832562713089492,0.0015832562713089492,5.5649563348844975
nao_irrigado,2237,1,0.037037037037037035,5.0,5,1.1436479272696958,-0.002661295007351802,0.002661295007351802,5.343781464589286
nao_irrigado,935,1,0.037037037037037035,5.0,5,1.2388565107769502,-0.0016006868425237134,0.0016006868425237134,5.302837003084964
nao_irrigado,2271,1,0.037037037037037035,5.0,5,1.2923138672304286,-0.0040023980509282745,0.0040023980509282745,5.240430123765557
nao_irrigado,1454,1,0.037037037037037035,5.0,5,1.3081252855287349,-0.002657018057886009,0.002657018057886009,5.058965558227874
