data_coleta_iso,genotipo,turno,r2cv,rmsecv,auc,accuracy,best_components,rank,wavelength,range_label,range_start,range_end,direction,vip,coefficient,abs_coefficient,score
2017-02-25,BR16,manha,0.9861014043454539,0.05894615266187024,1.0,1.0,15,5,1730,SWIR1,1301,1800,nao_irrigado,1.4440712292499285,-0.003998208399298358,0.003998208399298358,6.7431675448688475
2017-02-25,CD202,manha,0.9659277972147626,0.09229328630138464,1.0,1.0,14,1,1092,NIR,700,1300,irrigado,1.5047100209837687,0.00563132760682791,0.00563132760682791,8.086336158913781
2017-02-25,CD202,manha,0.9659277972147626,0.09229328630138464,1.0,1.0,14,2,846,NIR,700,1300,nao_irrigado,1.5666555133788291,-0.004877963625018894,0.004877963625018894,7.671662844251122
2017-02-25,CD202,manha,0.9659277972147626,0.09229328630138464,1.0,1.0,14,3,845,NIR,700,1300,nao_irrigado,1.579915792275852,-0.004792283385173427,0.004792283385173427,7.663582771409425
2017-02-25,CD202,manha,0.9659277972147626,0.09229328630138464,1.0,1.0,14,4,1093,NIR,700,1300,irrigado,1.4508490762001476,0.005397590007926181,0.005397590007926181,7.49815753912355
2017-02-25,CD202,manha,0.9659277972147626,0.09229328630138464,1.0,1.0,14,5,847,NIR,700,1300,nao_irrigado,1.5346446222814125,-0.004625758562357447,0.004625758562357447,7.201162747993839
2017-02-25,EMB48,manha,0.9630669056840827,0.09608992444049126,1.0,1.0,14,1,427,VIS,350,699,nao_irrigado,1.4042416321198303,-0.0040364401462229405,0.0040364401462229405,5.986601860834652
2017-02-25,EMB48,manha,0.9630669056840827,0.09608992444049126,1.0,1.0,14,2,428,VIS,350,699,nao_irrigado,1.4354059526252863,-0.0038164513953932856,0.0038164513953932856,5.939918484378378
2017-02-25,EMB48,manha,0.9630669056840827,0.09608992444049126,1.0,1.0,14,3,431,VIS,350,699,nao_irrigado,1.4265597192097446,-0.003253974022744108,0.003253974022744108,5.26023203848616
2017-02-25,EMB48,manha,0.9630669056840827,0.09608992444049126,1.0,1.0,14,4,2363,SWIR2,1801,2500,irrigado,1.1920890943154716,0.004580218698728476,0.004580218698728476,5.246786466662805
2017-02-25,EMB48,manha,0.9630669056840827,0.09608992444049126,1.0,1.0,14,5,2271,SWIR2,1801,2500,nao_irrigado,1.2923138672304286,-0.0040023980509282745,0.0040023980509282745,5.240430123765557
2017-02-26,BR16,manha,0.9844086650527519,0.06243263358862908,1.0,1.0,11,1,965,NIR,700,1300,nao_irrigado,1.571809524620247,-0.004149839339503025,0.004149839339503025,8.890409201134219
2017-02-26,BR16,manha,0.9844086650527519,0.06243263358862908,1.0,1.0,11,2,964,NIR,700,1300,nao_irrigado,1.5090506785018123,-0.004050746844041607,0.004050746844041607,8.340371900612954
2017-02-26,BR16,manha,0.9844086650527519,0.06243263358862908,1.0,1.0,11,3,1001,NIR,700,1300,irrigado,1.326638907452067,0.0039039365541519763,0.0039039365541519763,6.960107611039241
2017-02-26,BR16,manha,0.9844086650527519,0.06243263358862908,1.0,1.0,11,4,1002,NIR,700,1300,irrigado,1.3262284849001864,0.0038928482829194214,0.0038928482829194214,6.940359519249407
2017-02-26,BR16,manha,0.9844086650527519,0.06243263358862908,1.0,1.0,11,5,966,NIR,700,1300,nao_irrigado,1.4766533013476983,-0.0032586101442177145,0.0032586101442177145,6.910132274015085
2017-02-26,CD202,manha,0.992143505351787,0.044318434787944117,1.0,1.0,14,1,410,VIS,350,699,nao_irrigado,1.3000412211515973,-0.0026924459377311765,0.0026924459377311765,6.631042515060493
2017-02-26,CD202,manha,0.992143505351787,0.044318434787944117,1.0,1.0,14,2,2238,SWIR2,1801,2500,nao_irrigado,1.1543228546994349,-0.0027542410429413,0.0027542410429413,5.618036450832603
2017-02-26,CD202,manha,0.992143505351787,0.044318434787944117,1.0,1.0,14,3,394,VIS,350,699,nao_irrigado,1.265505796205047,-0.0022201088265307533,0.0022201088265307533,5.391518665969851
2017-02-26,CD202,manha,0.992143505351787,0.044318434787944117,1.0,1.0,14,4,2239,SWIR2,1801,2500,nao_irrigado,1.1403147261589417,-0.0026853310811721653,0.0026853310811721653,5.367038231311174
2017-02-26,CD202,manha,0.992143505351787,0.044318434787944117,1.0,1.0,14,5,2237,SWIR2,1801,2500,nao_irrigado,1.1436479272696958,-0.002661295007351802,0.002661295007351802,5.343781464589286
2017-02-26,EMB48,manha,0.9839058907325993,0.06343128027125237,1.0,1.0,13,1,1077,NIR,700,1300,nao_irrigado,1.2257305995179741,-0.004621194202972655,0.004621194202972655,7.4327673388338
2017-02-26,EMB48,manha,0.9839058907325993,0.06343128027125237,1.0,1.0,13,2,1076,NIR,700,1300,nao_irrigado,1.1385310219219897,-0.004225264289343392,0.004225264289343392,6.188000815978762
2017-02-26,EMB48,manha,0.9839058907325993,0.06343128027125237,1.0,1.0,13,3,1078,NIR,700,1300,nao_irrigado,1.180578682224646,-0.003914520932762471,0.003914520932762471,6.026608646537148
2017-02-26,EMB48,manha,0.9839058907325993,0.06343128027125237,1.0,1.0,13,4,1455,SWIR1,1301,1800,nao_irrigado,1.300357874004846,-0.002797345690116503,0.002797345690116503,5.214674727794381
2017-02-26,EMB48,manha,0.9839058907325993,0.06343128027125237,1.0,1.0,13,5,1454,SWIR1,1301,1800,nao_irrigado,1.3081252855287349,-0.002657018057886009,0.002657018057886009,5.058965558227874
2017-02-27,BR16,manha,0.997001438655114,0.027379560555668033,1.0,1.0,9,1,969,NIR,700,1300,nao_irrigado,1.5194889140748193,-0.0019799154469119155,0.0019799154469119155,8.405959084210835
2017-02-27,BR16,manha,0.997001438655114,0.027379560555668033,1.0,1.0,9,2,968,NIR,700,1300,nao_irrigado,1.4886212476365923,-0.001826628699057423,0.001826628699057423,7.714074904974957
2017-02-27,BR16,manha,0.997001438655114,0.027379560555668033,1.0,1.0,9,3,970,NIR,700,1300,nao_irrigado,1.3664595122092096,-0.0017647666727974678,0.0017647666727974678,6.6875704548946215
2017-02-27,BR16,manha,0.997001438655114,0.027379560555668033,1.0,1.0,9,4,936,NIR,700,1300,nao_irrigado,1.2417608212918858,-0.0016603573907635835,0.0016603573907635835,5.510103033996808
2017-02-27,BR16,manha,0.997001438655114,0.027379560555668033,1.0,1.0,9,5,935,NIR,700,1300,nao_irrigado,1.2388565107769502,-0.0016006868425237134,0.0016006868425237134,5.302837003084964
2017-02-27,CD202,manha,0.992759982704041,0.042544145590078075,1.0,1.0,9,1,1093,NIR,700,1300,irrigado,1.5252138281002003,0.0031866720810389245,0.0031866720810389245,9.57922643576774
2017-02-27,CD202,manha,0.992759982704041,0.042544145590078075,1.0,1.0,9,2,1094,NIR,700,1300,irrigado,1.5660660303020786,0.0030009495866181604,0.0030009495866181604,9.400835324810407
2017-02-27,CD202,manha,0.992759982704041,0.042544145590078075,1.0,1.0,9,3,984,NIR,700,1300,nao_irrigado,1.6280907883549092,-0.002831953257921352,0.002831953257921352,9.393392589683431
2017-02-27,CD202,manha,0.992759982704041,0.042544145590078075,1.0,1.0,9,4,1092,NIR,700,1300,irrigado,1.4176424697245749,0.0030695095685520373,0.0030695095685520373,8.63566054882851
2017-02-27,CD202,manha,0.992759982704041,0.042544145590078075,1.0,1.0,9,5,985,NIR,700,1300,nao_irrigado,1.5707268770904543,-0.002563972169618324,0.002563972169618324,8.411114891813883
