sample_id,data_coleta_iso,genotipo_normalizado,condicao_normalizada,y_true,y_pred
B3_EMB48_IRRIG_REPROD00007.asd,2017-02-23,EMB48,irrigado,1,0.8119694095367014
B3_EMB48_NIRRIG_REPROD00000.asd,2017-02-23,EMB48,nao_irrigado,0,0.14932719191709676
B3_EMB48_NIRRIG_REPROD00001.asd,2017-02-23,EMB48,nao_irrigado,0,0.14514400689130957
B3_EMB48_NIRRIG_REPROD00002.asd,2017-02-23,EMB48,nao_irrigado,0,0.08938742379845133
B3_EMB48_NIRRIG_REPROD00003.asd,2017-02-23,EMB48,nao_irrigado,0,0.14073718153913567
B3_EMB48_NIRRIG_REPROD00004.asd,2017-02-23,EMB48,nao_irrigado,0,0.5660296905285708
B3_EMB48_NIRRIG_REPROD00005.asd,2017-02-23,EMB48,nao_irrigado,0,0.5718344349646237
B3_EMB48_NIRRIG_REPROD00006.asd,2017-02-23,EMB48,nao_irrigado,0,0.5241905420452782
B3_EMB48_NIRRIG_REPROD00007.asd,2017-02-23,EMB48,nao_irrigado,0,0.5674273117233101
B4_BR16_IRRIG_REPROD00000.asd,2017-02-23,BR16,irrigado,1,0.6322585489674932
B4_BR16_IRRIG_REPROD00001.asd,2017-02-23,BR16,irrigado,1,0.6880025442612914
B4_BR16_IRRIG_REPROD00002.asd,2017-02-23,BR16,irrigado,1,0.6204402454707362
B4_BR16_IRRIG_REPROD00003.asd,2017-02-23,BR16,irrigado,1,0.607832456509905
B4_BR16_IRRIG_REPROD00004.asd,2017-02-23,BR16,irrigado,1,0.9783056487849164
B4_BR16_IRRIG_REPROD00005.asd,2017-02-23,BR16,irrigado,1,1.0525745778933997
B4_BR16_IRRIG_REPROD00006.asd,2017-02-23,BR16,irrigado,1,0.9330767523479588
B4_BR16_IRRIG_REPROD00007.asd,2017-02-23,BR16,irrigado,1,0.9663296420158218
B4_BR16_NIRRIG_REPROD00000.asd,2017-02-23,BR16,nao_irrigado,0,0.22923362145532933
B4_BR16_NIRRIG_REPROD00001.asd,2017-02-23,BR16,nao_irrigado,0,0.24232847926534984
B4_BR16_NIRRIG_REPROD00002.asd,2017-02-23,BR16,nao_irrigado,0,0.25118318890338187
B4_BR16_NIRRIG_REPROD00003.asd,2017-02-23,BR16,nao_irrigado,0,0.20866976034682067
B4_BR16_NIRRIG_REPROD00004.asd,2017-02-23,BR16,nao_irrigado,0,0.0772140560195177
B4_BR16_NIRRIG_REPROD00005.asd,2017-02-23,BR16,nao_irrigado,0,0.12217828503406847
B4_BR16_NIRRIG_REPROD00006.asd,2017-02-23,BR16,nao_irrigado,0,0.058013662327462634
B4_BR16_NIRRIG_REPROD00007.asd,2017-02-23,BR16,nao_irrigado,0,0.048762747109878546
B4_CD202_IRRIG_REPROD00000.asd,2017-02-23,CD202,irrigado,1,1.185916981788061
B4_CD202_IRRIG_REPROD00001.asd,2017-02-23,CD202,irrigado,1,1.131163716344262
B4_CD202_IRRIG_REPROD00002.asd,2017-02-23,CD202,irrigado,1,1.1458052644977834
B4_CD202_IRRIG_REPROD00003.asd,2017-02-23,CD202,irrigado,1,1.0593057213470816
B4_CD202_IRRIG_REPROD00004.asd,2017-02-23,CD202,irrigado,1,0.8477087329632808
B4_CD202_IRRIG_REPROD00005.asd,2017-02-23,CD202,irrigado,1,0.9079416526415607
B4_CD202_IRRIG_REPROD00006.asd,2017-02-23,CD202,irrigado,1,0.8519948756413696
B4_CD202_IRRIG_REPROD00007.asd,2017-02-23,CD202,irrigado,1,0.8859550399309843
B4_CD202_NIRRIG_REPROD00000.asd,2017-02-23,CD202,nao_irrigado,0,0.06509515778388908
B4_CD202_NIRRIG_REPROD00001.asd,2017-02-23,CD202,nao_irrigado,0,0.059417864863656134
B4_CD202_NIRRIG_REPROD00002.asd,2017-02-23,CD202,nao_irrigado,0,0.08866426134886374
B4_CD202_NIRRIG_REPROD00003.asd,2017-02-23,CD202,nao_irrigado,0,0.06823997571436335
B4_CD202_NIRRIG_REPROD00004.asd,2017-02-23,CD202,nao_irrigado,0,0.20975181942362608
B4_CD202_NIRRIG_REPROD00005.asd,2017-02-23,CD202,nao_irrigado,0,0.1321271185252202
