dia,banda,comprimento_onda_nm,status,ranking
dia2,band_615,615,Rejeitado,1171
dia2,band_616,616,Rejeitado,785
dia2,band_617,617,Rejeitado,1669
dia2,band_618,618,Rejeitado,1669
dia2,band_619,619,Rejeitado,1669
dia2,band_620,620,Rejeitado,1669
dia2,band_621,621,Rejeitado,1669
dia2,band_622,622,Rejeitado,1669
dia2,band_623,623,Rejeitado,1669
dia2,band_624,624,Rejeitado,988
dia2,band_625,625,Rejeitado,1171
dia2,band_626,626,Rejeitado,1669
dia2,band_627,627,Rejeitado,536
dia2,band_628,628,Rejeitado,1669
dia2,band_629,629,Rejeitado,1669
dia2,band_630,630,Rejeitado,1669
dia2,band_631,631,Rejeitado,935
dia2,band_632,632,Rejeitado,1394
dia2,band_633,633,Rejeitado,1669
dia2,band_634,634,Rejeitado,1171
dia2,band_635,635,Rejeitado,1669
dia2,band_636,636,Rejeitado,1171
dia2,band_637,637,Rejeitado,1669
dia2,band_638,638,Rejeitado,1171
dia2,band_639,639,Rejeitado,1171
dia2,band_640,640,Rejeitado,785
dia2,band_641,641,Rejeitado,1171
dia2,band_642,642,Rejeitado,1171
dia2,band_643,643,Rejeitado,1394
dia2,band_644,644,Rejeitado,1669
dia2,band_645,645,Rejeitado,536
dia2,band_646,646,Rejeitado,935
dia2,band_647,647,Rejeitado,1171
dia2,band_648,648,Rejeitado,536
dia2,band_649,649,Rejeitado,1394
dia2,band_650,650,Rejeitado,1171
dia2,band_651,651,Rejeitado,1669
dia2,band_652,652,Rejeitado,1669
dia2,band_653,653,Rejeitado,1669
dia2,band_654,654,Rejeitado,536
dia2,band_655,655,Rejeitado,1669
dia2,band_656,656,Rejeitado,1394
dia2,band_657,657,Rejeitado,1394
dia2,band_658,658,Rejeitado,536
dia2,band_659,659,Rejeitado,536
dia2,band_660,660,Rejeitado,1394
dia2,band_661,661,Rejeitado,785
dia2,band_662,662,Rejeitado,1171
dia2,band_663,663,Rejeitado,1669
dia2,band_664,664,Rejeitado,1394
dia2,band_665,665,Rejeitado,1171
dia2,band_666,666,Rejeitado,935
dia2,band_667,667,Rejeitado,785
dia2,band_668,668,Rejeitado,1669
dia2,band_669,669,Rejeitado,1669
dia2,band_670,670,Rejeitado,417
dia2,band_671,671,Rejeitado,536
dia2,band_672,672,Rejeitado,1669
dia2,band_673,673,Rejeitado,1171
dia2,band_674,674,Rejeitado,785
dia2,band_675,675,Rejeitado,1171
dia2,band_676,676,Rejeitado,632
dia2,band_677,677,Rejeitado,536
dia2,band_678,678,Rejeitado,1669
dia2,band_679,679,Rejeitado,785
dia2,band_680,680,Rejeitado,1171
dia2,band_681,681,Rejeitado,785
dia2,band_682,682,Rejeitado,1171
dia2,band_683,683,Rejeitado,1394
dia2,band_684,684,Rejeitado,1171
dia2,band_685,685,Rejeitado,1669
dia2,band_686,686,Rejeitado,1669
dia2,band_687,687,Rejeitado,1669
dia2,band_688,688,Rejeitado,536
dia2,band_689,689,Rejeitado,785
dia2,band_690,690,Rejeitado,1669
dia2,band_691,691,Rejeitado,1171
dia2,band_692,692,Rejeitado,1669
dia2,band_693,693,Rejeitado,785
dia2,band_694,694,Rejeitado,1669
dia2,band_695,695,Rejeitado,1669
dia2,band_696,696,Rejeitado,1669
dia2,band_697,697,Rejeitado,935
dia2,band_698,698,Rejeitado,1171
dia2,band_699,699,Rejeitado,1171
dia2,band_700,700,Rejeitado,1669
dia2,band_701,701,Rejeitado,1171
dia2,band_702,702,Rejeitado,1394
dia2,band_703,703,Rejeitado,1669
dia2,band_704,704,Rejeitado,1171
dia2,band_705,705,Rejeitado,785
dia2,band_706,706,Rejeitado,785
dia2,band_707,707,Rejeitado,536
dia2,band_708,708,Rejeitado,1669
dia2,band_709,709,Rejeitado,1669
dia2,band_710,710,Rejeitado,1669
dia2,band_711,711,Rejeitado,370
dia2,band_712,712,Rejeitado,1669
dia2,band_713,713,Rejeitado,1669
dia2,band_714,714,Rejeitado,1669
dia2,band_715,715,Rejeitado,536
dia2,band_716,716,Rejeitado,1669
dia2,band_717,717,Rejeitado,1171
dia2,band_718,718,Rejeitado,785
dia2,band_719,719,Rejeitado,1669
dia2,band_720,720,Rejeitado,1171
dia2,band_721,721,Rejeitado,1394
dia2,band_722,722,Rejeitado,785
dia2,band_723,723,Rejeitado,536
dia2,band_724,724,Rejeitado,632
dia2,band_725,725,Rejeitado,785
dia2,band_726,726,Rejeitado,785
dia2,band_727,727,Rejeitado,785
