condicao,banda,comprimento_onda_nm,media_reflectancia,desvio_padrao,n
IRR,band_1575,1575,0.341343160603785,0.01636564820325827,72
IRR,band_1576,1576,0.3418794961694128,0.01639318383302824,72
IRR,band_1577,1577,0.3424092380255096,0.016420366269132566,72
IRR,band_1578,1578,0.34293265873227935,0.016447344308551697,72
IRR,band_1579,1579,0.3434498992233748,0.016474495895878422,72
IRR,band_1580,1580,0.34396111528948575,0.016501607175099336,72
IRR,band_1581,1581,0.3444662345871086,0.016528652600802017,72
IRR,band_1582,1582,0.34496560366796586,0.0165556571619836,72
IRR,band_1583,1583,0.3454594725809156,0.0165819762848733,72
IRR,band_1584,1584,0.34594790763525385,0.016607554884309213,72
IRR,band_1585,1585,0.34643080479428284,0.01663307361900245,72
IRR,band_1586,1586,0.3469083117027492,0.01665857333419494,72
IRR,band_1587,1587,0.3473800473008246,0.016684006745481598,72
IRR,band_1588,1588,0.34784627694177117,0.016709517994447587,72
IRR,band_1589,1589,0.34830739708489555,0.01673491138467136,72
IRR,band_1590,1590,0.34876346767827976,0.01675998583497406,72
IRR,band_1591,1591,0.3492149689377742,0.016785243746814955,72
IRR,band_1592,1592,0.3496620637949183,0.01681078596025331,72
IRR,band_1593,1593,0.35010377795973135,0.016835931816841797,72
IRR,band_1594,1594,0.3505401582441472,0.016860553440250996,72
IRR,band_1595,1595,0.35097149396245847,0.01688506498304056,72
IRR,band_1596,1596,0.35139708769697126,0.016909173908287306,72
IRR,band_1597,1597,0.35181691004561816,0.016932589205265983,72
IRR,band_1598,1598,0.3522311655429249,0.01695558657986687,72
IRR,band_1599,1599,0.35263960300854325,0.016978198841090825,72
IRR,band_1600,1600,0.35304200995815627,0.017000311506543072,72
IRR,band_1601,1601,0.35343831819460114,0.01702250860480618,72
IRR,band_1602,1602,0.3538281779487093,0.01704488596059078,72
IRR,band_1603,1603,0.35421119486606656,0.017067311287560658,72
IRR,band_1604,1604,0.3545886492651117,0.017089936845234,72
IRR,band_1605,1605,0.3549612617361876,0.01711281119473266,72
IRR,band_1606,1606,0.3553280238378426,0.017135662289279218,72
IRR,band_1607,1607,0.35568954641522915,0.01715832445790569,72
IRR,band_1608,1608,0.35604525695634504,0.017180911026295462,72
IRR,band_1609,1609,0.3563936885880896,0.017203647367303742,72
IRR,band_1610,1610,0.3567356508974563,0.017226489914966593,72
IRR,band_1611,1611,0.35707126336002265,0.017249051812317534,72
IRR,band_1612,1612,0.3574004625838822,0.017271118994758753,72
IRR,band_1613,1613,0.35772425816876674,0.017292565483479808,72
IRR,band_1614,1614,0.3580422942682044,0.01731297788364833,72
IRR,band_1615,1615,0.358353965203401,0.017332657336541723,72
IRR,band_1616,1616,0.3586591340715841,0.01735148878535195,72
IRR,band_1617,1617,0.35895880440797634,0.017369929607452476,72
