feature,tipo,feature_legenda,dia,condicao,media,desvio_padrao,n
band_395,banda,395 nm,dia5,IRR,0.106841930987372,0.017750966958981713,12
band_395,banda,395 nm,dia6,IRR,0.11179821977325609,0.00729630872314065,12
band_395,banda,395 nm,dia9,IRR,0.0863474248837605,0.011720726697968382,12
band_395,banda,395 nm,dia2,NIRR,0.07217482433982633,0.002979786920841153,12
band_395,banda,395 nm,dia3,NIRR,0.0677355045045755,0.0024340025639616007,12
band_395,banda,395 nm,dia4,NIRR,0.06827939149059756,0.006475929131363936,12
band_395,banda,395 nm,dia5,NIRR,0.06657099269887307,0.004727176920073272,12
band_395,banda,395 nm,dia6,NIRR,0.06676978252883391,0.0034331609514306857,12
band_395,banda,395 nm,dia9,NIRR,0.06456326012764922,0.003689504377736184,12
band_396,banda,396 nm,dia2,IRR,0.0760237292065157,0.0031319081680820926,12
band_396,banda,396 nm,dia3,IRR,0.08589613903121802,0.008573213424894505,12
band_396,banda,396 nm,dia4,IRR,0.10614507575245352,0.01467338126618123,12
band_396,banda,396 nm,dia5,IRR,0.10629713902952555,0.017646499580518366,12
band_396,banda,396 nm,dia6,IRR,0.11119177987516293,0.007262519274481995,12
band_396,banda,396 nm,dia9,IRR,0.08611324649166056,0.011741936492541353,12
band_396,banda,396 nm,dia2,NIRR,0.07186083542451194,0.0029503134753417646,12
band_396,banda,396 nm,dia3,NIRR,0.0675248669368551,0.002447325798134583,12
band_396,banda,396 nm,dia4,NIRR,0.06797957300050993,0.0064830259626572845,12
band_396,banda,396 nm,dia5,NIRR,0.06637997218740463,0.004663348383603108,12
band_396,banda,396 nm,dia6,NIRR,0.06653286680667976,0.00341270703427734,12
band_396,banda,396 nm,dia9,NIRR,0.06448052784487686,0.0035871059979667324,12
band_397,banda,397 nm,dia2,IRR,0.07561280095138682,0.003098406350562562,12
band_397,banda,397 nm,dia3,IRR,0.08548660905620216,0.008496084902748221,12
band_397,banda,397 nm,dia4,IRR,0.10547222003223418,0.01462436982856125,12
band_397,banda,397 nm,dia5,IRR,0.10575968557561743,0.017483760992700586,12
band_397,banda,397 nm,dia6,IRR,0.11050928318631349,0.0072477219762728815,12
band_397,banda,397 nm,dia9,IRR,0.0859528527380038,0.011769364513858271,12
band_397,banda,397 nm,dia2,NIRR,0.07156019200403821,0.0029304980411793725,12
band_397,banda,397 nm,dia3,NIRR,0.06734003019864293,0.0024867031435441196,12
band_397,banda,397 nm,dia4,NIRR,0.06767124530240622,0.0064780633417426655,12
band_397,banda,397 nm,dia5,NIRR,0.06617034743207668,0.004598213387067838,12
band_397,banda,397 nm,dia6,NIRR,0.06625188239146776,0.0033208546292015835,12
band_397,banda,397 nm,dia9,NIRR,0.06444442487702336,0.003518917647740675,12
band_398,banda,398 nm,dia2,IRR,0.07520800694536815,0.0030716821999563254,12
band_398,banda,398 nm,dia3,IRR,0.08504824358179904,0.008393212856743019,12
band_398,banda,398 nm,dia4,IRR,0.1048487877231773,0.01451780451576088,12
band_398,banda,398 nm,dia5,IRR,0.10520973587669276,0.017344479801217692,12
band_398,banda,398 nm,dia6,IRR,0.10979424091602569,0.007222861357005819,12
band_398,banda,398 nm,dia9,IRR,0.08562021097393348,0.01176787806234533,12
band_398,banda,398 nm,dia2,NIRR,0.07124342814127677,0.0028966776027333843,12
band_398,banda,398 nm,dia3,NIRR,0.06711558934384008,0.00255347365290779,12
band_398,banda,398 nm,dia4,NIRR,0.06744353038746988,0.006431937430014275,12
band_398,banda,398 nm,dia5,NIRR,0.06594100819008057,0.004535804168043462,12
band_398,banda,398 nm,dia6,NIRR,0.065935059188533,0.003198994733933063,12
band_398,banda,398 nm,dia9,NIRR,0.06423514074025802,0.0034790631170712612,12
band_399,banda,399 nm,dia2,IRR,0.07485201717999364,0.0030198744771894083,12
band_399,banda,399 nm,dia3,IRR,0.0845796753833743,0.008302518856148562,12
band_399,banda,399 nm,dia4,IRR,0.10433184830663429,0.014431027747232364,12
band_399,banda,399 nm,dia5,IRR,0.10462565732613471,0.017237847350697052,12
band_399,banda,399 nm,dia6,IRR,0.10908458931125442,0.007137755293312585,12
band_399,banda,399 nm,dia9,IRR,0.08512885169801171,0.011656898160914558,12
band_399,banda,399 nm,dia2,NIRR,0.07091489956757945,0.002820528067114663,12
band_399,banda,399 nm,dia3,NIRR,0.06683807666080192,0.0026101925867326133,12
band_399,banda,399 nm,dia4,NIRR,0.0673234080410897,0.006372914378858741,12
band_399,banda,399 nm,dia5,NIRR,0.06569499678939815,0.004497609504929968,12
band_399,banda,399 nm,dia6,NIRR,0.06561140497683905,0.0031706290213600274,12
band_399,banda,399 nm,dia9,NIRR,0.06386520143429127,0.003382271026515187,12
band_400,banda,400 nm,dia2,IRR,0.07449173258409916,0.002880513210633998,12
band_400,banda,400 nm,dia3,IRR,0.08414109379803159,0.008234144021153411,12
band_400,banda,400 nm,dia4,IRR,0.10383353016917364,0.01432034696777909,12
band_400,banda,400 nm,dia5,IRR,0.10397658708775061,0.01710492404417578,12
band_400,banda,400 nm,dia6,IRR,0.10835541948337511,0.007024448671122338,12
band_400,banda,400 nm,dia9,IRR,0.08461135455654457,0.01149534566312756,12
band_400,banda,400 nm,dia2,NIRR,0.07055575786080039,0.0026901932083857787,12
band_400,banda,400 nm,dia3,NIRR,0.06656608224278177,0.00267075126831897,12
band_400,banda,400 nm,dia4,NIRR,0.06715562099089,0.006344584191931464,12
band_400,banda,400 nm,dia5,NIRR,0.0653733876521639,0.004489310183447684,12
band_400,banda,400 nm,dia6,NIRR,0.06523143629170641,0.0031210818595825726,12
band_400,banda,400 nm,dia9,NIRR,0.0634641628816452,0.0032495723397472968,12
band_402,banda,402 nm,dia2,IRR,0.07378254433573234,0.002791904168771252,12
band_402,banda,402 nm,dia3,IRR,0.08326270290504031,0.008087333132191512,12
band_402,banda,402 nm,dia4,IRR,0.10280808407031759,0.014121688982766698,12
band_402,banda,402 nm,dia5,IRR,0.10271129779213588,0.016960347770333905,12
band_402,banda,402 nm,dia6,IRR,0.10710333388692693,0.006972049115832375,12
band_402,banda,402 nm,dia9,IRR,0.08359109907443878,0.011327585086272823,12
band_402,banda,402 nm,dia2,NIRR,0.0699629102476938,0.0026428897005472806,12
band_402,banda,402 nm,dia3,NIRR,0.06604331922994465,0.00267809930552186,12
band_402,banda,402 nm,dia4,NIRR,0.06677671324257736,0.006217502727997084,12
band_402,banda,402 nm,dia5,NIRR,0.0647152794858802,0.004400065451123726,12
band_402,banda,402 nm,dia6,NIRR,0.06458645164376903,0.00307582437839978,12
band_402,banda,402 nm,dia9,NIRR,0.06273816248108498,0.003043684207186011,12
band_403,banda,403 nm,dia2,IRR,0.07341516552980624,0.0027563761284327797,12
band_403,banda,403 nm,dia3,IRR,0.08284327774699352,0.008033026085453124,12
band_403,banda,403 nm,dia4,IRR,0.1022114197013892,0.013983701377653195,12
band_403,banda,403 nm,dia5,IRR,0.10210222080147907,0.01689912334414699,12
band_403,banda,403 nm,dia6,IRR,0.10656282588092102,0.006913229963029356,12
band_403,banda,403 nm,dia9,IRR,0.08315936726912065,0.011234442550308555,12
band_403,banda,403 nm,dia2,NIRR,0.06966144695852981,0.002619003991675809,12
band_403,banda,403 nm,dia3,NIRR,0.06575179927715082,0.002636272467990742,12
band_403,banda,403 nm,dia4,NIRR,0.0664673504664333,0.006150690447287522,12
band_403,banda,403 nm,dia5,NIRR,0.06440008804080634,0.004339016562473907,12
band_403,banda,403 nm,dia6,NIRR,0.06427253286156974,0.003098649802869817,12
band_403,banda,403 nm,dia9,NIRR,0.06255252631742148,0.003059317011746628,12
band_404,banda,404 nm,dia2,IRR,0.0730326794073816,0.0027524939818676063,12
band_404,banda,404 nm,dia3,IRR,0.08241489135878256,0.007950284267490695,12
band_404,banda,404 nm,dia4,IRR,0.10161752120334801,0.013855524291863503,12
band_404,banda,404 nm,dia5,IRR,0.10152724162240512,0.016799151760550083,12
band_404,banda,404 nm,dia6,IRR,0.10604984306709986,0.006880691185199856,12
band_404,banda,404 nm,dia9,IRR,0.08270255519615313,0.011164351933605689,12
band_404,banda,404 nm,dia2,NIRR,0.06933759956142133,0.0026374348963233204,12
band_404,banda,404 nm,dia3,NIRR,0.0654419042673816,0.0026050775249077734,12
band_404,banda,404 nm,dia4,NIRR,0.06615300072132402,0.006061868653237373,12
band_404,banda,404 nm,dia5,NIRR,0.06408943746112052,0.004270708518522378,12
band_404,banda,404 nm,dia6,NIRR,0.06395952796514291,0.003097809270533642,12
band_404,banda,404 nm,dia9,NIRR,0.06231382657294992,0.0029953502621549197,12
band_406,banda,406 nm,dia2,IRR,0.07217173253936798,0.0026815957344162337,12
band_406,banda,406 nm,dia3,IRR,0.08159540739814838,0.0077909240004134985,12
band_406,banda,406 nm,dia4,IRR,0.10042465188283817,0.01375156059604344,12
band_406,banda,406 nm,dia5,IRR,0.10046818192292432,0.016570179527914352,12
band_406,banda,406 nm,dia6,IRR,0.10502083459985974,0.006819872220608039,12
band_406,banda,406 nm,dia9,IRR,0.08195414327436287,0.011067122955011256,12
band_406,banda,406 nm,dia2,NIRR,0.06864210033134625,0.00265155470932349,12
band_406,banda,406 nm,dia3,NIRR,0.06486883074658224,0.0026281750164286206,12
band_406,banda,406 nm,dia4,NIRR,0.06550696971084512,0.005901283562208769,12
band_406,banda,406 nm,dia5,NIRR,0.06352002921717283,0.0041448536191175545,12
band_406,banda,406 nm,dia6,NIRR,0.06336462605583242,0.0030147261227665314,12
band_406,banda,406 nm,dia9,NIRR,0.06180451300924125,0.0028242279832825,12
band_407,banda,407 nm,dia2,IRR,0.0717229116265323,0.002641866275967422,12
band_407,banda,407 nm,dia3,IRR,0.08116673444862829,0.007772759636360298,12
band_407,banda,407 nm,dia4,IRR,0.09980068112479884,0.013677800013812929,12
band_407,banda,407 nm,dia5,IRR,0.0999180979252197,0.016430611435662865,12
band_407,banda,407 nm,dia6,IRR,0.10443430078785093,0.006777014761087701,12
band_407,banda,407 nm,dia9,IRR,0.08164406074774466,0.011009299097875062,12
band_407,banda,407 nm,dia2,NIRR,0.06827416864498814,0.0026691025765120183,12
band_407,banda,407 nm,dia3,NIRR,0.06457102237786609,0.0026599194536871583,12
band_407,banda,407 nm,dia4,NIRR,0.06514966570793748,0.005920807616873801,12
band_407,banda,407 nm,dia5,NIRR,0.06319847100918569,0.004066281561143031,12
band_407,banda,407 nm,dia6,NIRR,0.06300000600850712,0.002997292863636343,12
band_407,banda,407 nm,dia9,NIRR,0.061603807748900064,0.002766662640291218,12
band_409,banda,409 nm,dia2,IRR,0.07091283733022495,0.0025016187659277476,12
band_409,banda,409 nm,dia3,IRR,0.08020169527421635,0.007739461746060062,12
band_409,banda,409 nm,dia4,IRR,0.09875493206811019,0.013497049492877338,12
band_409,banda,409 nm,dia5,IRR,0.09880104290981634,0.016255027844437647,12
band_409,banda,409 nm,dia6,IRR,0.10333858627399194,0.006790569662339299,12
band_409,banda,409 nm,dia9,IRR,0.08065132911494967,0.010834693058844228,12
band_409,banda,409 nm,dia2,NIRR,0.0674856484247897,0.0025436117887786746,12
band_409,banda,409 nm,dia3,NIRR,0.06383339270890527,0.002705642164918731,12
band_409,banda,409 nm,dia4,NIRR,0.064565048226311,0.006047046869493441,12
band_409,banda,409 nm,dia5,NIRR,0.0624871100160558,0.0039025313627416044,12
band_409,banda,409 nm,dia6,NIRR,0.062351615323061355,0.0030466299292241606,12
band_409,banda,409 nm,dia9,NIRR,0.06082158410516475,0.0027123038343010103,12
band_410,banda,410 nm,dia2,IRR,0.07050264554799161,0.002479131426254822,12
band_410,banda,410 nm,dia3,IRR,0.07973434140900397,0.0077250335400628235,12
band_410,banda,410 nm,dia4,IRR,0.09825941243090726,0.013406296345319308,12
band_410,banda,410 nm,dia5,IRR,0.0982536610730605,0.016170900982734226,12
band_410,banda,410 nm,dia6,IRR,0.10280456117929708,0.006774773461013323,12
band_410,banda,410 nm,dia9,IRR,0.08021366425468325,0.010722906620745876,12
band_410,banda,410 nm,dia2,NIRR,0.06709445126129494,0.0025010462201821714,12
band_410,banda,410 nm,dia3,NIRR,0.06347036745411382,0.002731408593102866,12
band_410,banda,410 nm,dia4,NIRR,0.06425365391429541,0.006073026199427933,12
band_410,banda,410 nm,dia5,NIRR,0.06214676541166153,0.0038357679052709796,12
band_410,banda,410 nm,dia6,NIRR,0.06205336149995657,0.0030058892484902786,12
band_410,banda,410 nm,dia9,NIRR,0.06047617092095123,0.0027160904036037195,12
band_412,banda,412 nm,dia2,IRR,0.06973708088629957,0.002450769635769792,12
band_412,banda,412 nm,dia3,IRR,0.0788577668485597,0.007629976389045465,12
band_412,banda,412 nm,dia4,IRR,0.09720624558333696,0.01330192254769664,12
band_412,banda,412 nm,dia5,IRR,0.09727452682604794,0.01608846642986501,12
band_412,banda,412 nm,dia6,IRR,0.10171959600219997,0.0067351301471473175,12
band_412,banda,412 nm,dia9,IRR,0.07945384326798437,0.010591006782154279,12
band_412,banda,412 nm,dia2,NIRR,0.06641588066833597,0.0024103131195263904,12
band_412,banda,412 nm,dia3,NIRR,0.06280974620192588,0.002739186650597656,12
band_412,banda,412 nm,dia4,NIRR,0.06364005941002965,0.006061147405081226,12
band_412,banda,412 nm,dia5,NIRR,0.06155951534086707,0.003757617222480907,12
band_412,banda,412 nm,dia6,NIRR,0.06141175577299213,0.0030565510635131177,12
band_412,banda,412 nm,dia9,NIRR,0.05995553513358027,0.00277132429682401,12
band_413,banda,413 nm,dia2,IRR,0.06938621380644844,0.002438907398477501,12
band_413,banda,413 nm,dia3,IRR,0.0784375129561436,0.0075901792538858445,12
band_413,banda,413 nm,dia4,IRR,0.09663524677930678,0.013210795896916525,12
band_413,banda,413 nm,dia5,IRR,0.09677441815152237,0.01602645602946607,12
band_413,banda,413 nm,dia6,IRR,0.10118271047605226,0.006709108126057754,12
band_413,banda,413 nm,dia9,IRR,0.07916919336211253,0.01046878972070686,12
band_413,banda,413 nm,dia2,NIRR,0.06609664789292742,0.002361193041188906,12
band_413,banda,413 nm,dia3,NIRR,0.062482112018255515,0.002715577018547439,12
band_413,banda,413 nm,dia4,NIRR,0.06328522681500434,0.006069699579052986,12
band_413,banda,413 nm,dia5,NIRR,0.06124446003826125,0.003748222394797884,12
band_413,banda,413 nm,dia6,NIRR,0.06106865498939126,0.003060645389853053,12
band_413,banda,413 nm,dia9,NIRR,0.05981539475288761,0.0028024000609059877,12
band_414,banda,414 nm,dia2,IRR,0.06902310886282441,0.002445512743078732,12
band_414,banda,414 nm,dia3,IRR,0.07801791547352362,0.007528902929599036,12
band_414,banda,414 nm,dia4,IRR,0.09603349963905301,0.013170144030518168,12
band_414,banda,414 nm,dia5,IRR,0.09629065376330186,0.015964624988878313,12
band_414,banda,414 nm,dia6,IRR,0.10062033241081793,0.006674693012896127,12
band_414,banda,414 nm,dia9,IRR,0.07886688694825537,0.010334045274163352,12
band_414,banda,414 nm,dia2,NIRR,0.06576373842496054,0.002347744974677011,12
band_414,banda,414 nm,dia3,NIRR,0.06214640991722522,0.002715410305536661,12
band_414,banda,414 nm,dia4,NIRR,0.06290352791237791,0.006037284981625748,12
band_414,banda,414 nm,dia5,NIRR,0.06095229362064374,0.003773983124072017,12
band_414,banda,414 nm,dia6,NIRR,0.06067925182127731,0.0030482539587116616,12
band_414,banda,414 nm,dia9,NIRR,0.05965973856574317,0.0027566021640613287,12
band_415,banda,415 nm,dia2,IRR,0.06861383304514106,0.002442406240276807,12
band_415,banda,415 nm,dia3,IRR,0.07761797708534023,0.007461558377938439,12
band_415,banda,415 nm,dia4,IRR,0.09544921845179911,0.013132040639136793,12
band_415,banda,415 nm,dia5,IRR,0.0957891252114459,0.01591346315778776,12
band_415,banda,415 nm,dia6,IRR,0.10009451340036024,0.0066542422620234,12
band_415,banda,415 nm,dia9,IRR,0.07857517944504266,0.010275578881818959,12
band_415,banda,415 nm,dia2,NIRR,0.0653967922434188,0.0023452509121414406,12
band_415,banda,415 nm,dia3,NIRR,0.06181993382329375,0.002719164321312331,12
band_415,banda,415 nm,dia4,NIRR,0.06254010072610477,0.005999807819188646,12
band_415,banda,415 nm,dia5,NIRR,0.06064831281917293,0.0038015822153941686,12
band_415,banda,415 nm,dia6,NIRR,0.0603164372863266,0.0029811671424969273,12
band_415,banda,415 nm,dia9,NIRR,0.05950510407442544,0.002730141949732476,12
band_422,banda,422 nm,dia2,IRR,0.06617074811137613,0.0023889994577529993,12
band_422,banda,422 nm,dia3,IRR,0.07494071787783087,0.007158137605464359,12
band_422,banda,422 nm,dia4,IRR,0.09224746244671682,0.012611405836320835,12
band_422,banda,422 nm,dia5,IRR,0.09243774663011806,0.015324037080277218,12
band_422,banda,422 nm,dia6,IRR,0.09708282637602646,0.006409697552739665,12
band_422,banda,422 nm,dia9,IRR,0.07615717776651786,0.010327464826776447,12
band_422,banda,422 nm,dia2,NIRR,0.06325209912960829,0.002293064806545069,12
band_422,banda,422 nm,dia3,NIRR,0.05972176749120931,0.0027370752217594123,12
band_422,banda,422 nm,dia4,NIRR,0.0604816022151449,0.005903024109275687,12
band_422,banda,422 nm,dia5,NIRR,0.05857058237693364,0.003697736850700124,12
band_422,banda,422 nm,dia6,NIRR,0.058362136652428453,0.0027560700259789592,12
band_422,banda,422 nm,dia9,NIRR,0.05772676895857948,0.002489305995383259,12
band_424,banda,424 nm,dia2,IRR,0.06551735074947664,0.0023551492570305504,12
band_424,banda,424 nm,dia3,IRR,0.07421499113006431,0.0070472969858563555,12
band_424,banda,424 nm,dia4,IRR,0.09130725518641326,0.012500537696015395,12
band_424,banda,424 nm,dia5,IRR,0.09155324016807304,0.01519241041223042,12
band_424,banda,424 nm,dia6,IRR,0.09620225119170718,0.006303028253177144,12
band_424,banda,424 nm,dia9,IRR,0.07548372274312916,0.010233468542237766,12
band_424,banda,424 nm,dia2,NIRR,0.0625841774846083,0.0022559421050384614,12
