dia,condicao,banda,comprimento_onda_nm,media_reflectancia,desvio_padrao,n
dia2,IRR,band_458,458,0.05775036888826385,0.0022204164650276334,12
dia2,IRR,band_459,459,0.0575846178160359,0.0022135186738143544,12
dia2,IRR,band_460,460,0.057407416931227945,0.002205244114053974,12
dia2,IRR,band_461,461,0.05722844270913102,0.0022040423946066887,12
dia2,IRR,band_462,462,0.05706024155709813,0.0022078745893355563,12
dia2,IRR,band_463,463,0.056893214325596485,0.0022050066380146804,12
dia2,IRR,band_464,464,0.056725876327839535,0.0021999477743232555,12
dia2,IRR,band_465,465,0.05656218634587464,0.0022024575273221765,12
dia2,IRR,band_466,466,0.056404870830848476,0.002197242252838432,12
dia2,IRR,band_467,467,0.05625444790270196,0.002189006096814115,12
dia2,IRR,band_468,468,0.056107094342071485,0.002185929516315337,12
dia2,IRR,band_469,469,0.05595166290060686,0.0021858107530135216,12
dia2,IRR,band_470,470,0.05579829950267903,0.0021854090764343043,12
dia2,IRR,band_471,471,0.055655211255078496,0.0021848061580039563,12
dia2,IRR,band_472,472,0.05552384950142832,0.0021866508739257547,12
dia2,IRR,band_473,473,0.055394177694016944,0.0021889331061973882,12
dia2,IRR,band_474,474,0.05527134482767548,0.002197089001606115,12
dia2,IRR,band_475,475,0.05516050980013642,0.0022094129505950775,12
dia2,IRR,band_476,476,0.05505842705750443,0.002215340873167486,12
dia2,IRR,band_477,477,0.054955035824542676,0.002211331335372858,12
dia2,IRR,band_478,478,0.054856655239095053,0.002205294837296113,12
dia2,IRR,band_479,479,0.05476612347308175,0.002201793356236538,12
dia2,IRR,band_480,480,0.05467697088026408,0.0021960185735074643,12
dia2,IRR,band_481,481,0.054585870468919113,0.002187510973557828,12
dia2,IRR,band_482,482,0.05449757159977602,0.00217659311042932,12
dia2,IRR,band_483,483,0.05441749605213253,0.002167613398369736,12
dia2,IRR,band_484,484,0.05434629783937928,0.0021674631596356906,12
dia2,IRR,band_485,485,0.054282765767964945,0.002176441694955376,12
dia2,IRR,band_486,486,0.054226427531090964,0.0021879785043473323,12
dia2,IRR,band_487,487,0.05417862775616264,0.002194105026318183,12
dia2,IRR,band_488,488,0.054152825356213026,0.002197449858934079,12
dia2,IRR,band_489,489,0.05414306400580038,0.0022015513139682762,12
dia2,IRR,band_490,490,0.05414028358402395,0.002205271328288149,12
dia2,IRR,band_491,491,0.05414810083515728,0.002205702612042122,12
dia2,IRR,band_492,492,0.05417881733073609,0.0022086323072441987,12
dia2,IRR,band_493,493,0.05423482661622486,0.002213398871842535,12
dia2,IRR,band_494,494,0.05431046920170884,0.0022200926495010817,12
dia2,IRR,band_495,495,0.05440258104590747,0.002231725957071954,12
dia2,IRR,band_496,496,0.0545142142218619,0.0022430173968037447,12
dia2,IRR,band_497,497,0.05465374652563298,0.0022523565607964783,12
dia2,IRR,band_498,498,0.054830565204409064,0.0022644959343977645,12
dia2,IRR,band_499,499,0.05504430154203425,0.0022831554498459745,12
dia2,IRR,band_500,500,0.05529498382929381,0.0023099731344076785,12
dia2,IRR,band_501,501,0.05559038186047569,0.00234485893200872,12
dia2,IRR,band_502,502,0.05594596222745695,0.0023901227091489554,12
dia2,IRR,band_503,503,0.0563593801111637,0.0024404721135556275,12
dia2,IRR,band_504,504,0.05683368261981769,0.0024958744472628165,12
dia2,IRR,band_505,505,0.057378213014458807,0.002563070305261928,12
dia2,IRR,band_506,506,0.058001247326145235,0.0026424799662472793,12
dia2,IRR,band_507,507,0.05871616680517484,0.00273554427836598,12
