subset_type,subset_name,subset_label,rank,wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
turno_genotipo,tarde_BR16,tarde / BR16,17,806,irrigado,1.2026541030,0.0172783095,0.0172783095,6.3580390324
turno_genotipo,tarde_BR16,tarde / BR16,18,2283,nao_irrigado,1.6291470472,-0.0109042398,0.0109042398,6.2925339661
turno_genotipo,tarde_BR16,tarde / BR16,19,2281,nao_irrigado,1.8422044054,-0.0077605103,0.0077605103,6.2746537562
turno_genotipo,tarde_BR16,tarde / BR16,20,1670,irrigado,1.4135116320,0.0138850695,0.0138850695,6.2369477281
turno_genotipo,tarde_CD202,tarde / CD202,1,2281,nao_irrigado,1.7372391798,-0.0109764954,0.0109764954,7.6543598964
turno_genotipo,tarde_CD202,tarde / CD202,2,553,nao_irrigado,1.5349556257,-0.0121587483,0.0121587483,6.9350843081
turno_genotipo,tarde_CD202,tarde / CD202,3,1670,irrigado,1.3903539928,0.0142342659,0.0142342659,6.9105670988
turno_genotipo,tarde_CD202,tarde / CD202,4,1669,irrigado,1.4304304788,0.0136404506,0.0136404506,6.9099664165
turno_genotipo,tarde_CD202,tarde / CD202,5,2282,nao_irrigado,1.6398705746,-0.0103435955,0.0103435955,6.8297925340
turno_genotipo,tarde_CD202,tarde / CD202,6,554,nao_irrigado,1.4595280207,-0.0129773982,0.0129773982,6.8172366738
turno_genotipo,tarde_CD202,tarde / CD202,7,2280,nao_irrigado,1.6925320740,-0.0094644561,0.0094644561,6.7896636728
turno_genotipo,tarde_CD202,tarde / CD202,8,1668,irrigado,1.4531690125,0.0125567010,0.0125567010,6.6124111898
turno_genotipo,tarde_CD202,tarde / CD202,9,552,nao_irrigado,1.5564351989,-0.0105268069,0.0105268069,6.4119618845
turno_genotipo,tarde_CD202,tarde / CD202,10,1667,irrigado,1.4584515143,0.0115617013,0.0115617013,6.2475041332
turno_genotipo,tarde_CD202,tarde / CD202,11,1665,irrigado,1.4598371554,0.0115045134,0.0115045134,6.2328951862
