date_iso,date_label,source_rank,class_rank,direction_label,wavelength,morning_count,afternoon_count,morning_mean_reflectance,afternoon_mean_reflectance,morning_std_reflectance,afternoon_std_reflectance,diff_morning_minus_afternoon,abs_diff,pct_diff_vs_morning,vip,cohen_d,q_value,combined_score
2017-03-02,02/03/2017,8,8,irrigado,1656,196,192,0.3849815137912194,0.3924350269967216,0.026759998828123407,0.012452304014789374,-0.0074535132055021935,0.0074535132055021935,-1.9360704185771196,1.4323572271,1.5077088176,3.5632339671e-169,6.2035387061
2017-03-02,02/03/2017,9,9,irrigado,1657,196,192,0.3850354487992474,0.39251614367489956,0.02674722073239593,0.012445455459036142,-0.007480694875652172,0.007480694875652172,-1.9428587417031598,1.4537103712,1.4838718242,1.0353097084e-164,6.1856770629
2017-03-02,02/03/2017,10,10,irrigado,1652,196,192,0.3847067593528931,0.3920542022666987,0.02679563460941007,0.012435449257941836,-0.007347442913805569,0.007347442913805569,-1.909881418814825,1.3658062069,1.5593458412,4.6649864823e-179,6.1384787064
2017-03-02,02/03/2017,11,1,nao_irrigado,1924,196,192,0.0787155698623906,0.06956987940805522,0.011921457551310846,0.006544349032791098,0.009145690454335387,0.009145690454335387,11.61865495012454,1.2793988868,-1.9937255058,2.1672729275e-258,8.0327963516
2017-03-02,02/03/2017,12,2,nao_irrigado,1923,196,192,0.07866831389893854,0.0695080862537187,0.011890676446449385,0.006552887138316321,0.009160227645219843,0.009160227645219843,11.644113355457897,1.3148501309,-1.9496079354,1.2659483932e-249,7.9691965372
2017-03-02,02/03/2017,13,3,nao_irrigado,2279,196,192,0.24148442089450795,0.23377325516118966,0.024082870284873246,0.014103763513871404,0.007711165733318287,0.007711165733318287,3.1932352839800364,1.6992624471,-1.5671708898,3.244282072e-180,7.9432984786
2017-03-02,02/03/2017,14,4,nao_irrigado,2280,196,192,0.2409911522574712,0.23325562040090794,0.02409879074145283,0.014110939450432366,0.007735531856563255,0.007735531856563255,3.20988209903189,1.6419253399,-1.6171442115,9.0643940911e-190,7.9176113549
2017-03-02,02/03/2017,15,5,nao_irrigado,1427,196,192,0.23678933826593526,0.22669634116219797,0.023475005570754073,0.012970255932402296,0.010092997103737289,0.010092997103737289,4.26243731143079,1.3630282245,-1.8934627205,1.4045805978e-237,7.8887210661
2017-03-02,02/03/2017,16,6,nao_irrigado,1428,196,192,0.23633623627920974,0.2262928266573081,0.023515369861833002,0.01293737417865178,0.010043409621901644,0.010043409621901644,4.249627471445501,1.3613801823,-1.8934491622,1.3993657901e-237,7.8799858925
2017-03-02,02/03/2017,17,7,nao_irrigado,1426,196,192,0.23731124201605763,0.2271729926988524,0.023434298155225967,0.013001649372453189,0.010138249317205222,0.010138249317205222,4.272131918857522,1.3640022684,-1.8907849156,4.1486289918e-237,7.8797142082
2017-03-02,02/03/2017,18,8,nao_irrigado,1429,196,192,0.2359621302963387,0.22596220991040886,0.02355719588698545,0.01291084549622072,0.009999920385929839,0.009999920385929839,4.237934440315147,1.3594343382,-1.8940449776,1.0362366145e-237,7.8732838884
2017-03-02,02/03/2017,19,9,nao_irrigado,1430,196,192,0.2356546429160223,0.22570502618108887,0.02360364700972585,0.012881570610628598,0.009949616734933442,0.009949616734933442,4.222117846614666,1.3574309308,-1.8955089432,6.8020496358e-238,7.8690939613
2017-03-02,02/03/2017,20,10,nao_irrigado,1425,196,192,0.2379026594597496,0.22772961293460325,0.02339949721260005,0.013033723462177408,0.010173046525146334,0.010173046525146334,4.276138210580827,1.3647469655,-1.8869388077,2.2009120353e-236,7.8624384994
