data_coleta,turno,analysis,rank,wavelength_nm,p_value,q_FDR_BH
D09M,MANHA,cond,1,400.0,5.8582326335260375e-30,1.2015235131361903e-26
D09M,MANHA,cond,2,1530.0,4.579923412563878e-21,5.658688505523201e-20
D09M,MANHA,cond,3,579.0,1.586916248928106e-14,9.142598950987489e-14
D09M,MANHA,cond,4,1600.0,2.2647559013937076e-11,9.862026228786612e-11
D09M,MANHA,cond,5,1979.0,5.586059326735964e-10,2.079311738500084e-09
D09M,MANHA,gen,1,721.0,9.000784240514122e-14,4.117944697422066e-11
D09M,MANHA,gen,2,552.0,7.589104348216443e-09,4.3442101540764464e-07
D09M,MANHA,gen,3,740.0,4.186632526379314e-05,0.000867351849656967
D09T,TARDE,gen_cond,1,717.0,5.731779355410676e-21,2.519401067543116e-18
D09T,TARDE,gen_cond,2,546.0,3.1693145267070895e-14,1.5893122130088288e-12
D09T,TARDE,gen_cond,3,1383.0,4.590113618513825e-14,2.0030474535259266e-12
D09T,TARDE,gen_cond,4,1901.0,4.178793639020097e-12,8.485847280821998e-11
D09T,TARDE,gen_cond,5,1359.0,3.562135238542991e-10,3.825099148822866e-09
D09T,TARDE,cond,1,1900.0,2.311605112312305e-13,9.788810630771363e-11
D09T,TARDE,cond,2,1383.0,2.5891718886379003e-12,2.794942917682281e-10
D09T,TARDE,cond,3,415.0,3.70507725509072e-10,1.0702976690409953e-08
D09T,TARDE,cond,4,1639.0,1.9115262264149233e-07,1.5435197993610267e-06
D09T,TARDE,cond,5,1839.0,1.586472220217419e-05,7.620268205306619e-05
D09T,TARDE,gen,1,712.0,1.120694881844327e-16,1.3520854133310085e-14
D09T,TARDE,gen,2,546.0,1.6071622346577534e-13,8.588470537327283e-12
D09T,TARDE,gen,3,740.0,2.6797292372042952e-08,5.234404443339057e-07
D09T,TARDE,gen,4,1360.0,1.8424063144478764e-07,3.3739065633326737e-06
D09T,TARDE,gen,5,1380.0,1.1225878095971501e-05,0.00014759151265921505
D10M,MANHA,gen_cond,1,400.0,3.7395542182630735e-21,1.0993690986656137e-18
D10M,MANHA,gen_cond,2,723.0,3.7763348564530786e-14,4.4770305147891704e-13
D10M,MANHA,gen_cond,3,520.0,5.319267531602782e-13,4.936569098333623e-12
D10M,MANHA,gen_cond,4,1906.0,1.394168774643824e-12,1.2272275351049283e-11
D10M,MANHA,gen_cond,5,1386.0,5.973376414507228e-12,4.422886291030442e-11
D10M,MANHA,cond,1,432.0,1.5667698746162163e-17,8.197203348457055e-16
D10M,MANHA,cond,2,1906.0,5.644918599661462e-12,7.059590273113206e-11
D10M,MANHA,cond,3,728.0,2.2551122536203884e-10,2.1817147321582156e-09
D10M,MANHA,cond,4,1385.0,6.992647884740775e-10,5.951004486142461e-09
D10M,MANHA,cond,5,1819.0,8.562283691163336e-07,3.7847508298655177e-06
D10M,MANHA,gen,1,707.0,1.4778105273431848e-09,5.793548421992975e-07
D10M,MANHA,gen,2,530.0,6.92032759149251e-07,2.7452040195953554e-05
D10M,MANHA,gen,3,1359.0,1.3642755341828819e-05,0.0003156866722499893
D10M,MANHA,gen,4,400.0,2.2658201695839605e-05,0.00045118419105016536
D10M,MANHA,gen,5,1380.0,0.0002707163518810533,0.0035141723905572175
