wavelength,kw_h,kw_p,pearson_r,pearson_p,spearman_r,spearman_p
1462,31.651622596153857,1.8446041281200898e-08,-0.6571886946112045,3.673009288648247e-09,-0.7088065376923788,5.6245639792473855e-11
1463,30.011538461538464,4.294830837146e-08,-0.650752732999886,5.848407711689359e-09,-0.6901982514999776,2.802294380371716e-10
1464,27.281430288461564,1.758925589356879e-07,-0.6400906607863137,1.2340911508437584e-08,-0.658056666258557,3.44671550353002e-09
1465,25.76033653846156,3.8655119575150216e-07,-0.6281091658428278,2.7615714269742974e-08,-0.6394483800661557,1.2896863603608055e-08
1466,23.495372596153857,1.2521456671140411e-06,-0.6126001191783828,7.454625621028333e-08,-0.6106901195869899,8.393433333749817e-08
1467,22.211718750000017,2.441788792386843e-06,-0.5950676249480085,2.151859525873645e-07,-0.5937734957757159,2.3212204536507922e-07
1468,21.58341346153847,3.387688848816299e-06,-0.5828016757680462,4.354839578332112e-07,-0.585315183870079,3.777976219573474e-07
1469,20.718930288461564,5.318757913668567e-06,-0.5727918302733469,7.580072231555126e-07,-0.5734735472021872,7.303532801508356e-07
1470,19.752584134615404,8.814243583499868e-06,-0.5600880446678829,1.492504241862281e-06,-0.559940248153168,1.5040671577280558e-06
1471,16.992007211538464,3.753750689857089e-05,-0.5392991897211622,4.265036447714962e-06,-0.5193403510061105,1.0965416466259376e-05
1472,15.372115384615398,8.828152186066548e-05,-0.513311741113428,1.4417176487430733e-05,-0.4939654152891995,3.3530852444239795e-05
1473,15.689603365384613,7.463328261592632e-05,-0.4934403691378578,3.42836519560378e-05,-0.49904040243258174,2.7003719100359674e-05
1474,15.477584134615398,8.348951637883397e-05,-0.47451247271902863,7.45401689788473e-05,-0.49565707767032696,3.120826190672823e-05
1475,14.033834134615404,0.00017955068991268693,-0.449054813791145,0.00019769247782644474,-0.4719738043345434,8.244097716135123e-05
1476,11.631490384615404,0.0006484457665632496,-0.41562502299680587,0.0006369306300587892,-0.4296822448063586,0.00039517354174524276
1477,7.6507211538461775,0.005674963097129576,-0.36712816531517667,0.0028441702165256716,-0.3484824505122436,0.004773177685423934
1478,4.500721153846172,0.03388056216811041,-0.3097786113416641,0.012738696630683517,-0.2672826562181286,0.03275043489293864
1479,2.5530649038461775,0.11008052389153165,-0.2610822308090147,0.03717992427769128,-0.20130782335416011,0.11069017270285882
1480,1.6271033653846132,0.20210416237849768,-0.21193309451154752,0.09272305941053677,-0.1607079262071026,0.20458797632258588
1481,1.1251802884615358,0.2888057319512325,-0.15540684573508065,0.22011690756215305,-0.1336413281090643,0.29243710671159157
1482,0.545372596153868,0.46021463757298275,-0.0989958730848508,0.43640838494808654,-0.09304143096200679,0.46462665791888463
1483,0.19633413461539817,0.6576962416751619,-0.04954957326868932,0.6974071481642252,-0.05582485857720405,0.661285735302382
1484,0.018028846153868017,0.8931878581001413,-0.010189192749625136,0.9363096166672836,-0.016916623811273956,0.8944503076052299
1485,0.011538461538464162,0.9144579851508807,0.014245784541514452,0.9110408836245303,0.013533299049019168,0.9154733609060685
1486,0.07950721153846985,0.7779663362156605,0.03535813987680203,0.7814907926729291,0.03552491000367532,0.7804858826037994
1487,0.34903846153846985,0.5546579389558717,0.05923254038788143,0.6419819485739929,0.07443314476960543,0.5588565129328698
1488,0.7853365384615358,0.37551398945232917,0.09321803394005301,0.4637757375607948,0.1116497171544081,0.3797569644996606
1489,1.1251802884615358,0.2888057319512325,0.12608551024162373,0.32082068843357814,0.1336413281090643,0.29243710671159157
1490,1.3646033653846246,0.2427412686948826,0.15087582964091772,0.23402903734953673,0.14717462715808344,0.24583550400914125
1491,1.9126802884615586,0.16666583160767415,0.1733722519458808,0.1706737361300566,0.1742412252561218,0.16850733277410118
1492,2.3843149038461604,0.12255861128940804,0.19749862351105513,0.11774705726152895,0.19454117382965053,0.12345955878197788
1493,2.683413461538464,0.10139817067272289,0.21807346449245096,0.08343305693655338,0.20638281049754229,0.10180004142098589
1494,3.046875,0.08089265412686582,0.2370452091707369,0.0592999990226629,0.21991610954656143,0.08079364392538585
1495,3.285757211538481,0.06988338625082191,0.25475887215457516,0.04219857300871521,0.22837442145219847,0.06951547147942151
1496,3.285757211538481,0.06988338625082191,0.25937980214467554,0.03847965398355441,0.22837442145219847,0.06951547147942151
1497,3.383834134615398,0.0658387268340861,0.25485348844822725,0.042119554730617265,0.23175774621445325,0.06537342709957458
1498,2.8622596153846303,0.09068003393793503,0.24565441808291255,0.05039484120133504,0.2131494600220519,0.09082118549952095
1499,2.683413461538464,0.10139817067272289,0.23687115314430782,0.05949238555819969,0.20638281049754229,0.10180004142098589
1500,2.261538461538464,0.13262225087386625,0.23063714603726498,0.06672274554731092,0.18946618668626833,0.13375072344097436
1501,2.064122596153851,0.15080170117134234,0.22754914670485832,0.07055705605326773,0.18100787478063135,0.15232229316691973
1502,2.064122596153851,0.15080170117134234,0.22352457386696042,0.07581671474818202,0.18100787478063135,0.15232229316691973
1503,1.950000000000017,0.1625868507263491,0.21824710504112965,0.08318146256314567,0.17593288763724918,0.16434778631305397
1504,1.950000000000017,0.1625868507263491,0.21499358679236238,0.08799629640059875,0.17593288763724918,0.16434778631305397
